"fishingfleet","time_start","time_end","geographic_identifier","gear_type","fishing_mode","species","measurement","measurement_type","measurement_value","measurement_unit","measurement_obs","source_authority"
"AGO","1978-01-01","1978-01-31",6210010,9.1,"UNK","LTA","catch","landings",1,"t","raised","ICCAT"
"AGO","1978-01-01","1978-01-31",6210010,9.1,"UNK","SKJ","catch","landings",436,"t","raised","ICCAT"
"AGO","1978-01-01","1978-01-31",6210010,9.1,"UNK","YFT","catch","landings",824,"t","raised","ICCAT"
"AGO","1978-01-01","1978-01-31",6215010,9.1,"UNK","BON","catch","landings",1,"t","raised","ICCAT"
"AGO","1978-01-01","1978-01-31",6215010,9.1,"UNK","SKJ","catch","landings",348,"t","raised","ICCAT"
"AGO","1978-01-01","1978-01-31",6215010,9.1,"UNK","YFT","catch","landings",75,"t","raised","ICCAT"
"AGO","1978-02-01","1978-02-28",6210010,9.1,"UNK","BON","catch","landings",6,"t","raised","ICCAT"
"AGO","1978-02-01","1978-02-28",6210010,9.1,"UNK","FRI","catch","landings",3,"t","raised","ICCAT"
"AGO","1978-02-01","1978-02-28",6210010,9.1,"UNK","LTA","catch","landings",9,"t","raised","ICCAT"
"AGO","1978-02-01","1978-02-28",6210010,9.1,"UNK","SKJ","catch","landings",214,"t","raised","ICCAT"
