"fishingfleet","time_start","time_end","geographic_identifier","gear_type","fishing_mode","species","measurement","measurement_type","measurement_value","measurement_unit","measurement_obs","source_authority"
"ARE","1950-01-01","1950-12-31","F51",7.2,"UNK","COM","catch","Landings",603.475952148438,"t","unknown","IOTC"
"ARE","1950-01-01","1950-12-31","F51",7.2,"UNK","LOT","catch","Landings",517.271179199219,"t","unknown","IOTC"
"ARE","1950-01-01","1950-12-31","F51",9.5,"UNK","COM","catch","Landings",96.5240478515625,"t","unknown","IOTC"
"ARE","1950-01-01","1950-12-31","IOTC_WEST",9.5,"UNK","LOT","catch","Landings",82.7288208007812,"t","unknown","IOTC"
"ARE","1951-01-01","1951-12-31","IOTC_WEST",7.2,"UNK","COM","catch","Landings",603.475952148438,"t","unknown","IOTC"
"ARE","1951-01-01","1951-12-31","IOTC_WEST",7.2,"UNK","LOT","catch","Landings",517.271179199219,"t","unknown","IOTC"
"ARE","1951-01-01","1951-12-31","IOTC_WEST",9.5,"UNK","COM","catch","Landings",96.5240478515625,"t","unknown","IOTC"
"ARE","1951-01-01","1951-12-31","IOTC_WEST",9.5,"UNK","LOT","catch","Landings",82.7288208007812,"t","unknown","IOTC"
"ARE","1952-01-01","1952-12-31","IOTC_WEST",7.2,"UNK","COM","catch","Landings",603.475952148438,"t","unknown","IOTC"
"ARE","1952-01-01","1952-12-31","IOTC_WEST",7.2,"UNK","LOT","catch","Landings",517.271179199219,"t","unknown","IOTC"
