fishing_fleet,gear_type,time_start,time_end,geographic_identifier,fishing_mode,species,measurement_type,measurement_unit,source_authority,measurement,measurement_processing_level,measurement_value
AUS,01.1,1975-01-01,1975-12-31,IOTC,UNK,SBF,NC,t,CCSBT,catch,unknown,2667.23704076498
AUS,01.1,1975-01-01,1975-12-31,WCPFC,UNK,SBF,NC,t,CCSBT,catch,unknown,6165.76295923505
AUS,01.1,1976-01-01,1976-12-31,IOTC,UNK,SBF,NC,t,CCSBT,catch,unknown,3037.3046225863
AUS,01.1,1976-01-01,1976-12-31,WCPFC,UNK,SBF,NC,t,CCSBT,catch,unknown,117.724985371562
AUS,01.1,1977-01-01,1977-12-31,IOTC,UNK,SBF,NC,t,CCSBT,catch,unknown,932.203019550546
AUS,01.1,1977-01-01,1977-12-31,WCPFC,UNK,SBF,NC,t,CCSBT,catch,unknown,617.387740903082
AUS,01.1,1978-01-01,1978-12-31,IOTC,UNK,SBF,NC,t,CCSBT,catch,unknown,1562.46069417942
AUS,01.1,1978-01-01,1978-12-31,WCPFC,UNK,SBF,NC,t,CCSBT,catch,unknown,2014.59006828252
AUS,01.1,1979-01-01,1979-12-31,IOTC,UNK,SBF,NC,t,CCSBT,catch,unknown,111.079062580479
AUS,01.1,1979-01-01,1979-12-31,WCPFC,UNK,SBF,NC,t,CCSBT,catch,unknown,1985.53824362606
AUS,01.1,1980-01-01,1980-12-31,IOTC,UNK,SBF,NC,t,CCSBT,catch,unknown,106.749544574746
AUS,01.1,1980-01-01,1980-12-31,WCPFC,UNK,SBF,NC,t,CCSBT,catch,unknown,1929.45818626892
AUS,01.1,1981-01-01,1981-12-31,IOTC,UNK,SBF,NC,t,CCSBT,catch,unknown,419.505573121831
AUS,01.1,1981-01-01,1981-12-31,WCPFC,UNK,SBF,NC,t,CCSBT,catch,unknown,6332.15398067514
AUS,01.1,1982-01-01,1982-12-31,IOTC,UNK,SBF,NC,t,CCSBT,catch,unknown,5489.45183933444
AUS,01.1,1982-01-01,1982-12-31,WCPFC,UNK,SBF,NC,t,CCSBT,catch,unknown,1341.8522033017
AUS,01.1,1983-01-01,1983-12-31,IOTC,UNK,SBF,NC,t,CCSBT,catch,unknown,5082.53618766738
AUS,01.1,1983-01-01,1983-12-31,WCPFC,UNK,SBF,NC,t,CCSBT,catch,unknown,789.903584302293
