"Year","Month","Flag","LatC5","LonC5","Hooks","ALBn","BETn","PBFn","SKJn","TUNn","YFTn","BILn","BLMn","BUMn","MLSn","SFAn","SSPn","SWOn","ALBmt","BETmt","PBFmt","SKJmt","TUNmt","YFTmt","BILmt","BLMmt","BUMmt","MLSmt","SFAmt","SSPmt","SWOmt"
1964,6,"JPN",-12.50,-147.50,75600,3022.00,408.00,0.00,5.00,0.00,468.00,117.00,7.00,46.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966,8,"JPN",12.50,-92.50,2655,0.00,0.00,0.00,0.00,0.00,0.00,85.00,1.00,0.00,28.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971,12,"JPN",2.50,-102.50,102468,0.00,1641.00,0.00,0.00,0.00,57.00,13.00,0.00,11.00,136.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974,6,"JPN",-12.50,-127.50,11251,5.00,95.00,0.00,0.00,0.00,32.00,18.00,3.00,6.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1976,8,"KOR",-7.50,-147.50,3221,21.00,24.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1978,1,"JPN",27.50,-127.50,12070,183.00,387.00,0.00,0.00,0.00,15.00,1.00,0.00,0.00,1.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1983,5,"JPN",-7.50,-112.50,2671,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1995,5,"USA",22.50,-137.50,3370,44.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1997,2,"KOR",-12.50,-107.50,96778,2.00,441.00,0.00,13.00,0.00,130.00,0.00,0.00,12.00,21.00,0.00,0.00,18.00,0.02,24.75,0.00,0.12,0.00,4.78,0.00,0.00,0.92,0.54,0.00,0.00,0.52
1998,1,"JPN",-12.50,-102.50,966375,162.00,5103.00,0.00,42.00,0.00,3116.00,0.00,10.00,378.00,218.00,21.00,231.00,579.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999,12,"KOR",-12.50,-112.50,70405,131.00,270.00,0.00,4.00,0.00,310.00,0.00,2.00,5.00,15.00,0.00,0.00,21.00,2.08,9.42,0.00,0.02,0.00,8.55,0.00,0.17,0.61,0.54,0.00,0.00,1.11
2000,7,"JPN",-22.50,-82.50,273284,683.00,4684.00,0.00,4.00,0.00,4314.00,0.00,0.00,0.00,2.00,0.00,1.00,185.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2002,5,"CHN",-12.50,-107.50,72800,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.90,17.20,0.00,0.00,0.00,1.60,1.20,0.00,0.00,0.00,0.00,0.00,1.10
2002,9,"JPN",-12.50,-112.50,204510,229.00,1347.00,0.00,0.00,0.00,498.00,0.00,2.00,16.00,134.00,0.00,193.00,122.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2005,8,"PYF",-7.50,-142.50,37200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,1.45,0.00,0.00,0.03,2.61,0.00,0.00,0.00,0.13,0.00,0.00,1.01
2007,5,"ESP",-32.50,-82.50,15150,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.58
2011,4,"ESP",-32.50,-92.50,23221,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.75
2012,3,"TWN",-7.50,-147.50,252210,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.12,22.85,0.00,0.51,0.00,6.38,0.00,0.14,4.68,0.53,0.00,0.00,12.50
2022,4,"PYF",-17.50,-142.50,69987,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.22,2.10,0.00,0.16,0.00,6.23,0.00,0.00,1.15,0.26,0.00,0.02,0.46
2022,7,"PAN",7.50,-92.50,7285,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.06,0.13,0.00,0.00,0.48
