Year,Month,Flag,LatC1,LonC1,NumSets,ALB,BET,BKJ,BZX,PBF,SKJ,TUN,YFT
1978,8,USA,19.5,-112.5,3,0,0,0,0,0,25.00481,0,21.29519
1979,2,USA,22.5,-111.5,1,0,0,0,0,0,0.2860832,0,0.2139169
1979,6,MEX,23.5,-110.5,1,0,0,0,0,0,0,0,5
1979,7,USA,23.5,-111.5,9,0,0,0,0,0,13.6,0,38.5
1980,6,USA,16.5,-117.5,1,0,0,0,0,0,0,0,23.6
1984,7,MEX,26.5,-114.5,3,0,0,0,0,0,0,0,2.8
1985,10,MEX,28.5,-115.5,1,0,0,0,0,0,0,0,4
1988,9,MEX,27.5,-114.5,7,0,0,0,9.9,0,0,0,0
1988,9,USA,45.5,-126.5,1,0.2,0,0,0,0,0,0,0
1994,9,MEX,25.5,-112.5,5,0,0,0,0,0,2.877476,0,15.62252
1995,8,USA,29.5,-116.5,3,0,0,0,0,0,30.8,0,5.4
1995,9,USA,47.5,-143.5,3,5.2,0,0,0,0,0,0,0
1996,8,MEX,25.5,-113.5,15,0,0,0,0,0,83,0,51
1996,11,MEX,23.5,-111.5,1,0,0,0,0,0,0,0,3
1996,11,MEX,25.5,-113.5,20,0,0,0,0,0,51,0,18
1999,5,MEX,24.5,-112.5,2,0,0,0,0,0,0,0,10
2000,8,MEX,27.5,-115.5,17,0,0,0,0,0,2,0,94
2001,10,MEX,25.5,-112.5,5,0,0,0,0,0,4,0,36
2005,10,MEX,24.5,-112.5,2,0,0,0,0,0,18,0,2
2008,10,MEX,26.5,-114.5,3,0,0,0,0,0,0,0,6
