src_code,trg_code,src_codingsystem,trg_codingsystem,source_authority
BLZ,BLZ,flag_iattc,fishingfleet_firms,IATTC
BMU,BMU,flag_iattc,fishingfleet_firms,IATTC
CAN,CAN,flag_iattc,fishingfleet_firms,IATTC
CHL,CHL,flag_iattc,fishingfleet_firms,IATTC
CHN,CHN,flag_iattc,fishingfleet_firms,IATTC
COL,COL,flag_iattc,fishingfleet_firms,IATTC
CRI,CRI,flag_iattc,fishingfleet_firms,IATTC
CYM,CYM,flag_iattc,fishingfleet_firms,IATTC
ECU,ECU,flag_iattc,fishingfleet_firms,IATTC
ESP,EUESP,flag_iattc,fishingfleet_firms,IATTC
EU (ESP),EUESP,flag_iattc,fishingfleet_firms,IATTC
FRA (PYF),EUFRA,flag_iattc,fishingfleet_firms,IATTC
GTM,GTM,flag_iattc,fishingfleet_firms,IATTC
HND,HND,flag_iattc,fishingfleet_firms,IATTC
JPN,JPN,flag_iattc,fishingfleet_firms,IATTC
KOR,KOR,flag_iattc,fishingfleet_firms,IATTC
MEX,MEX,flag_iattc,fishingfleet_firms,IATTC
NIC,NIC,flag_iattc,fishingfleet_firms,IATTC
NLD,EUNLD,flag_iattc,fishingfleet_firms,IATTC
OTR,NEI,flag_iattc,fishingfleet_firms,IATTC
PAN,PAN,flag_iattc,fishingfleet_firms,IATTC
PER,PER,flag_iattc,fishingfleet_firms,IATTC
PYF,EUFRA,flag_iattc,fishingfleet_firms,IATTC
SEN,SEN,flag_iattc,fishingfleet_firms,IATTC
SLV,SLV,flag_iattc,fishingfleet_firms,IATTC
TWN,TWN,flag_iattc,fishingfleet_firms,IATTC
UNK,NEI,flag_iattc,fishingfleet_firms,IATTC
USA,USA,flag_iattc,fishingfleet_firms,IATTC
VEN,VEN,flag_iattc,fishingfleet_firms,IATTC
VUT,VUT,flag_iattc,fishingfleet_firms,IATTC
ALB,ALB,species_iattc,species_asfis,IATTC
BET,BET,species_iattc,species_asfis,IATTC
BIL,BIL,species_iattc,species_asfis,IATTC
BKJ,BKJ,species_iattc,species_asfis,IATTC
BLM,BLM,species_iattc,species_asfis,IATTC
BUM,BUM,species_iattc,species_asfis,IATTC
BZX,BZX,species_iattc,species_asfis,IATTC
CGX,CGX,species_iattc,species_asfis,IATTC
DOX,DOX,species_iattc,species_asfis,IATTC
MLS,MLS,species_iattc,species_asfis,IATTC
MZZ,MZZ,species_iattc,species_asfis,IATTC
PBF,PBF,species_iattc,species_asfis,IATTC
SFA,SFA,species_iattc,species_asfis,IATTC
SKH,SKH,species_iattc,species_asfis,IATTC
SKJ,SKJ,species_iattc,species_asfis,IATTC
SRX,SRX,species_iattc,species_asfis,IATTC
SSP,SSP,species_iattc,species_asfis,IATTC
SWO,SWO,species_iattc,species_asfis,IATTC
TUN,TUN,species_iattc,species_asfis,IATTC
YFT,YFT,species_iattc,species_asfis,IATTC
BXQ,BXQ,species_iattc,species_asfis,IATTC
GN,07.9,gear_iattc,isscfg_revision_1,IATTC
HAR,10.1,gear_iattc,isscfg_revision_1,IATTC
LL,09.32,gear_iattc,isscfg_revision_1,IATTC
LP,09.1,gear_iattc,isscfg_revision_1,IATTC
LTL,09.5,gear_iattc,isscfg_revision_1,IATTC
OTR,10.9,gear_iattc,isscfg_revision_1,IATTC
PS,01.1,gear_iattc,isscfg_revision_1,IATTC
RG,10.9,gear_iattc,isscfg_revision_1,IATTC
TX,03.9,gear_iattc,isscfg_revision_1,IATTC
LHP,09.1,gear_iattc,isscfg_revision_1,IATTC
UNK,99.9,gear_iattc,isscfg_revision_1,IATTC
