fishing_fleet,gear_type,time_start,time_end,geographic_identifier,fishing_mode,measurement_unit,measurement_value,source_authority,gridtype,Gear,issue
BLZ,PS,2012-04-01,2012-04-30,1100000,FAD,D.FISH,33,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-01-01,2015-01-31,NA,UNK,FISH.HOUR,96,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-03-01,2015-03-31,NA,UNK,FISH.HOUR,36,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-04-01,2015-04-30,NA,UNK,FISH.HOUR,192,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-05-01,2015-05-31,NA,UNK,FISH.HOUR,96,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-06-01,2015-06-30,NA,UNK,FISH.HOUR,212,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-07-01,2015-07-31,NA,UNK,FISH.HOUR,240,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-08-01,2015-08-31,NA,UNK,FISH.HOUR,254,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-09-01,2015-09-30,NA,FAD,FISH.HOUR,270,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-09-01,2015-09-30,NA,FAD,NO.SETS,24,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-09-01,2015-09-30,NA,FSC,FISH.HOUR,36,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-09-01,2015-09-30,NA,FSC,NO.SETS,3,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-09-01,2015-09-30,NA,UNK,FISH.HOUR,209,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-10-01,2015-10-31,NA,FAD,FISH.HOUR,476,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-10-01,2015-10-31,NA,FAD,NO.SETS,53,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-10-01,2015-10-31,NA,FSC,FISH.HOUR,72,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-10-01,2015-10-31,NA,FSC,NO.SETS,10,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-10-01,2015-10-31,NA,UNK,FISH.HOUR,280,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-11-01,2015-11-30,NA,FAD,FISH.HOUR,252,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-11-01,2015-11-30,NA,FAD,NO.SETS,44,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-11-01,2015-11-30,NA,FSC,FISH.HOUR,144,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-11-01,2015-11-30,NA,FSC,NO.SETS,22,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-11-01,2015-11-30,NA,UNK,FISH.HOUR,36,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-12-01,2015-12-31,NA,FAD,FISH.HOUR,368,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-12-01,2015-12-31,NA,FAD,NO.SETS,59,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-12-01,2015-12-31,NA,FSC,FISH.HOUR,16,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-12-01,2015-12-31,NA,FSC,NO.SETS,4,ICCAT,NA,NA,removed_irregular_areas.csv
SEN,PS,2015-12-01,2015-12-31,NA,UNK,FISH.HOUR,86,ICCAT,NA,NA,removed_irregular_areas.csv
