fishing_fleet,gear_type,time_start,time_end,geographic_identifier,fishing_mode,measurement_unit,measurement_value,measurement_type,source_authority,gridtype,Gear,issue
BLZ,LL,2012-03-01,2012-03-31,1330030,UNK,D.FISH,9,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-03-01,2012-03-31,1330030,UNK,NO.HOOKS,1200,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-03-01,2012-03-31,1330040,UNK,D.FISH,16,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-03-01,2012-03-31,1330040,UNK,NO.HOOKS,1700,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-03-01,2012-03-31,1430050,UNK,D.FISH,22,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-03-01,2012-03-31,1430050,UNK,NO.HOOKS,2080,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-04-01,2012-04-30,1330040,UNK,D.FISH,21,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-04-01,2012-04-30,1330040,UNK,NO.HOOKS,1200,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-05-01,2012-05-31,1415050,UNK,D.FISH,28,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-05-01,2012-05-31,1415050,UNK,NO.HOOKS,2240,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-06-01,2012-06-30,1330040,UNK,D.FISH,2,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-06-01,2012-06-30,1330040,UNK,NO.HOOKS,950,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-06-01,2012-06-30,1410050,UNK,D.FISH,7,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-06-01,2012-06-30,1410050,UNK,NO.HOOKS,1900,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-06-01,2012-06-30,1415050,UNK,D.FISH,14,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-06-01,2012-06-30,1415050,UNK,NO.HOOKS,2080,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-06-01,2012-06-30,1420060,UNK,D.FISH,15,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-06-01,2012-06-30,1420060,UNK,NO.HOOKS,2080,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-07-01,2012-07-31,1415040,UNK,D.FISH,16,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-07-01,2012-07-31,1415040,UNK,NO.HOOKS,2250,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-07-01,2012-07-31,1425050,UNK,D.FISH,16,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-07-01,2012-07-31,1425050,UNK,NO.HOOKS,2300,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-10-01,2012-10-31,1420020,UNK,D.FISH,17,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-10-01,2012-10-31,1420020,UNK,NO.HOOKS,1200,C,ICCAT,NA,NA,removed_irregular_areas.csv
BLZ,LL,2012-10-01,2012-10-31,1425010,UNK,D.FISH,9,C,ICCAT,NA,NA,removed_irregular_areas.csv
