StrataID,DSetID,FleetID,GearGrpCode,GearCode,FileTypeCode,YearC,TimePeriodID,SquareTypeCode,QuadID,Lat,Lon,SchoolTypeCode,Eff1,Eff1Type,Eff2,Eff2Type,DSetTypeID,CatchUnit,BFT,ALB,YFT,BET,SKJ,SWO,BUM,SAI,SPF,WHM,BLF,BLT,BON,BOP,BRS,CER,FRI,KGM,LTA,MAW,SLT,SSM,WAH,DOL,BIL,BLM,MSP,MLS,RSP,SBF,oTun,BSH,POR,SMA,oSks,FleetCode,FleetName,FlagID,FlagCode,FlagName,StatusCode
1,1,021ES00,TP,TRAP,OF-REP,1950,17,1x1,4,36,5,n/a,4,NO.TRAPS,NA,NA,nw,kg,6725000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU.ESP,EU.España,021,EU-ESP,EU-España,CP
2,1,021ES00,TP,TRAP,OF-REP,1950,17,1x1,4,36,5,n/a,4,NO.TRAPS,NA,NA,nw,nr,52928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU.ESP,EU.España,021,EU-ESP,EU-España,CP
3,2,026YU00,PS,PS,OF-REP,1950,17,5x5,1,40,15,n/a,14,NO.BOATS,NA,NA,.w,kg,657000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YUG,Yugoslavia Fed.,026,YUG,Yugoslavia Fed,NCO
4,3,021ES00,TP,TRAP,OF-REP,1951,17,1x1,4,36,5,n/a,4,NO.TRAPS,NA,NA,nw,kg,3072000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU.ESP,EU.España,021,EU-ESP,EU-España,CP
5,3,021ES00,TP,TRAP,OF-REP,1951,17,1x1,4,36,5,n/a,4,NO.TRAPS,NA,NA,nw,nr,28654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU.ESP,EU.España,021,EU-ESP,EU-España,CP
6,4,026YU00,PS,PS,OF-REP,1951,17,5x5,1,40,15,n/a,14,NO.BOATS,NA,NA,.w,kg,531000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YUG,Yugoslavia Fed.,026,YUG,Yugoslavia Fed,NCO
7,6,008FR01,BB,BB,OF-REP,1952,17,1x1,4,44,2,n/a,4800,D.AT SEA,NA,NA,.w,kg,2362000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU.FRA-FR,EU.France (Mainland),008,EU-FRA,EU-France,CP
8,5,021ES00,TP,TRAP,OF-REP,1952,17,1x1,4,36,5,n/a,5,NO.TRAPS,NA,NA,nw,kg,4665000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU.ESP,EU.España,021,EU-ESP,EU-España,CP
9,5,021ES00,TP,TRAP,OF-REP,1952,17,1x1,4,36,5,n/a,5,NO.TRAPS,NA,NA,nw,nr,42186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EU.ESP,EU.España,021,EU-ESP,EU-España,CP
10,7,026YU00,PS,PS,OF-REP,1952,17,5x5,1,40,15,n/a,16,NO.BOATS,NA,NA,.w,kg,279000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YUG,Yugoslavia Fed.,026,YUG,Yugoslavia Fed,NCO
