"Fleet","Gear","Year","MonthStart","MonthEnd","iGrid","Grid","Effort","EffortUnits","QualityCode","Source","CatchUnits","YFT.FS","YFT.LS","YFT.UNCL","BET.FS","BET.LS","BET.UNCL","SKJ.FS","SKJ.LS","SKJ.UNCL","ALB.FS","ALB.LS","ALB.UNCL","SBF.FS","SBF.LS","SBF.UNCL","LOT.FS","LOT.LS","LOT.UNCL","FRZ.FS","FRZ.LS","FRZ.UNCL","KAW.FS","KAW.LS","KAW.UNCL","COM.FS","COM.LS","COM.UNCL","TUX.FS","TUX.LS","TUX.UNCL","FAL.FS","FAL.LS","FAL.UNCL","OCS.FS","OCS.LS","OCS.UNCL","SKH.FS","SKH.LS","SKH.UNCL","NTAD.FS","NTAD.LS","NTAD.UNCL"
"EUESP  ","PS",1996,9,9,5100043,5100043,36.2,"FHOURS",3,"LO","MT",NA,13.36,NA,NA,5.58,NA,NA,20.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EUESP  ","PS",2004,8,8,5100043,5100043,12.1,"FHOURS",3,"LO","MT",NA,8.74,NA,NA,2.66,NA,NA,32.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEIPS  ","PS",1992,10,10,5100043,5100043,12.1,"FHOURS",3,"RFRI","MT",NA,4.53,NA,NA,3,NA,NA,37.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EUESP  ","PS",1991,8,8,5100044,5100044,12.1,"FHOURS",3,"LO","MT",76.26,NA,NA,9.95,NA,NA,68.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EUESP  ","PS",1995,6,6,5100044,5100044,12.1,"FHOURS",3,"LO","MT",NA,0.79,NA,NA,0.68,NA,NA,4.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EUESP  ","PS",1995,9,9,5100044,5100044,12.1,"FHOURS",3,"LO","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EUESP  ","PS",1995,10,10,5100044,5100044,12.1,"FHOURS",3,"LO","MT",NA,81.07,NA,NA,10.76,NA,NA,64.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EUESP  ","PS",1995,11,11,5100044,5100044,12.1,"FHOURS",3,"LO","MT",NA,31.41,NA,NA,3.11,NA,NA,13.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EUESP  ","PS",1996,8,8,5100044,5100044,6.1,"FHOURS",3,"LO","MT",NA,17.87,NA,NA,7.42,NA,NA,38.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EUESP  ","PS",1996,9,9,5100044,5100044,12.1,"FHOURS",3,"LO","MT",NA,16.66,NA,NA,6.91,NA,NA,35.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
