source_authority,gear_type,fishing_fleet,fishing_mode,fishing_fleet_label,time_start,time_end,geographic_identifier,gridtype,measurement_value,measurement_unit,measurement_processing_level,measurement,issue
IOTC,PS,EUESP,UNCL,EU (Spain),1988-03-01,1988-03-31,5100055,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1990-03-01,1990-03-31,5101051,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1990-03-01,1990-03-31,5103055,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1990-02-01,1990-02-28,5202053,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1990-01-01,1990-01-31,5203052,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1988-03-01,1988-03-31,5203055,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1987-02-01,1987-02-28,5203064,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1986-01-01,1986-01-31,5203066,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1989-02-01,1989-02-28,5204049,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1985-01-01,1985-01-31,5205066,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1990-02-01,1990-02-28,5205069,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1987-02-01,1987-02-28,5206053,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1989-02-01,1989-02-28,5206058,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1989-02-01,1989-02-28,5207061,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1988-01-01,1988-01-31,5208064,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1985-02-01,1985-02-28,5209056,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1988-06-01,1988-06-30,5200055,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1985-05-01,1985-05-31,5200055,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1989-04-01,1989-04-30,5203045,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1988-05-01,1988-05-31,5203049,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1990-04-01,1990-04-30,5203051,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1990-04-01,1990-04-30,5204052,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1985-06-01,1985-06-30,5205047,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1989-04-01,1989-04-30,5205053,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1990-04-01,1990-04-30,5206051,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1989-06-01,1989-06-30,5206062,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1986-04-01,1986-04-30,5210047,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1990-06-01,1990-06-30,5211049,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1985-04-01,1985-04-30,5213043,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1987-05-01,1987-05-31,5215042,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1986-05-01,1986-05-31,5215042,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1988-04-01,1988-04-30,5215046,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1988-04-01,1988-04-30,5218041,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1988-04-01,1988-04-30,5220041,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1985-05-01,1985-05-31,5225040,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1990-04-01,1990-04-30,5225041,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1990-07-01,1990-07-31,5100055,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1987-09-01,1987-09-30,5102053,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1989-08-01,1989-08-31,5102057,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1987-08-01,1987-08-31,5103055,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1988-08-01,1988-08-31,5103055,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1990-09-01,1990-09-30,5103057,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1989-09-01,1989-09-30,5104050,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1986-08-01,1986-08-31,5104050,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1989-09-01,1989-09-30,5106059,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1990-09-01,1990-09-30,5201046,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1990-09-01,1990-09-30,5202047,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1989-09-01,1989-09-30,5204047,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1987-09-01,1987-09-30,5205057,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1989-09-01,1989-09-30,5207048,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1989-09-01,1989-09-30,5207050,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1990-08-01,1990-08-31,5208054,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1989-07-01,1989-07-31,5208056,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1988-11-01,1988-11-30,5100055,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1988-11-01,1988-11-30,5101060,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1989-12-01,1989-12-31,5101060,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1990-10-01,1990-10-31,5102056,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1987-11-01,1987-11-30,5103054,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1986-10-01,1986-10-31,5104048,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1989-10-01,1989-10-31,5106054,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1987-11-01,1987-11-30,5200059,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1987-11-01,1987-11-30,5200060,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1987-11-01,1987-11-30,5200061,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1987-12-01,1987-12-31,5200065,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1987-10-01,1987-10-31,5201059,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1988-10-01,1988-10-31,5203056,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1988-12-01,1988-12-31,5203060,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1987-10-01,1987-10-31,5204049,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1990-10-01,1990-10-31,5204051,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1989-10-01,1989-10-31,5204051,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1988-10-01,1988-10-31,5205049,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1988-11-01,1988-11-30,5205049,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1986-11-01,1986-11-30,5205058,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1989-12-01,1989-12-31,5206049,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1987-11-01,1987-11-30,5206054,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1988-10-01,1988-10-31,5206055,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,EUESP,UNCL,EU (Spain),1985-11-01,1985-11-30,5206064,1deg_x_1deg,0,DAYS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1989-03-01,1989-03-31,5201051,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1989-02-01,1989-02-28,5203061,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1984-01-01,1984-01-31,5205068,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1984-01-01,1984-01-31,5206061,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1984-03-01,1984-03-31,5206061,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1986-01-01,1986-01-31,5206062,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1984-03-01,1984-03-31,5207058,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1986-03-01,1986-03-31,5208049,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1984-03-01,1984-03-31,5209053,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1984-05-01,1984-05-31,5100055,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1984-05-01,1984-05-31,5110054,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1984-05-01,1984-05-31,5201054,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1984-05-01,1984-05-31,5204060,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1984-06-01,1984-06-30,5205051,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1989-06-01,1989-06-30,5207050,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1984-05-01,1984-05-31,5208053,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1984-05-01,1984-05-31,5209054,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1984-06-01,1984-06-30,5209055,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1984-06-01,1984-06-30,5211055,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1990-04-01,1990-04-30,5212049,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1990-08-01,1990-08-31,5102051,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1987-08-01,1987-08-31,5102054,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1987-09-01,1987-09-30,5104055,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1985-09-01,1985-09-30,5211049,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1990-10-01,1990-10-31,5100065,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1988-10-01,1988-10-31,5102057,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
IOTC,PS,NEIPS,UNCL,NEI (other),1990-10-01,1990-10-31,5200058,1deg_x_1deg,0,HOURS,unknown,effort,negative_values.csv
