yy,mm,lat5,lon5,days,alb_n,alb_c
1983,12,"35S","170W",133,870,4.872
1983,12,"40S","165W",0,0,0.000
1984,2,"45S","165W",803,7382,41.340
1984,3,"45S","160E",846,19111,107.020
1984,3,"45S","175W",0,0,0.000
1984,4,"40S","175W",85,21,0.120
1985,1,"45S","160E",1304,60706,339.955
1985,12,"40S","155E",3203,113310,634.535
1986,2,"45S","155E",1096,15550,87.078
1987,12,"40S","155E",228,18441,103.267
1988,11,"35S","150W",0,0,0.000
1988,11,"40S","140W",0,0,0.000
1988,12,"40S","170W",87,4951,38.578
1989,1,"40S","155E",13176,384362,2152.617
1989,2,"35S","160W",108,4874,36.212
1989,2,"40S","180W",0,0,0.000
1989,2,"45S","165W",2495,66738,377.378
1989,3,"40S","155W",1118,15075,109.884
1990,2,"40S","160W",71,1782,9.979
1990,3,"45S","145W",514,21210,118.775
