"YY","MM","LAT5","LON5","cwp_grid","DAYS","SKJ_C","YFT_C","OTH_C"
"1952","8","25N","135E","61250013500","0","0","0","0"
"1955","4","35N","145E","61350014500","0","0","0","0"
"1972","1","10S","145E","62050014500","158","308.35","0.04","1.98"
"1973","8","40N","140E","61400014000","0","0","0","0"
"1974","7","20N","175W","64200017000","0","0","0","0"
"1974","12","05N","135E","61050013500","144","737.5","0.4","0.3"
"1979","4","00N","160E","61000016000","488","3773.1","7.2","2"
"1981","5","35N","175E","61350017500","0","0","0","0"
"1983","2","15S","155W","63100015000","0","0","0","0"
"1986","10","30N","140E","61300014000","0","0","0","0"
"1987","9","05S","120E","62000012000","285","649.095","131.535","0"
"1989","10","10N","150E","61100015000","0","0","0","0"
"1990","4","05S","155E","62000015500","0","0","0","0"
"1993","8","40N","170E","61400017000","0","0","0","0"
"1993","10","35N","150E","61350015000","144","1453.5","0","0.2"
"1997","1","10S","120E","62050012000","65","704.73","142.805","0"
"2004","11","35N","125E","61350012500","0","0","0","0"
"2014","4","20N","150E","61200015000","0","0","0","0"
"2014","8","20N","175E","61200017500","0","0","0","0"
"2016","4","10N","155E","61100015500","65","375.9","0.5","0"
