"yy","mm","flag_id","lat_short","lon_short","cwp_grid","hhooks","alb_c","alb_n","yft_c","yft_n","bet_c","bet_n","mls_c","mls_n","blm_c","blm_n","bum_c","bum_n","swo_c","swo_n","bsh_n","fal_n","mak_n","ocs_n","thr_n","ham_n","por_n","oth_c","oth_n"
1950,6,"","05N",140,61050014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,6,"","05N",145,61050014500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,6,"","05N",150,61050015000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,6,"JP","00N",140,61000014000,1952,0,0,121.627,4796,13.32,429,0,0,0,0,62.717,1073,0,0,0,0,0,0,0,0,0,29.177,1325
1950,6,"JP","00N",145,61000014500,1359,0,0,94.72,3735,13.507,435,0,0,0,0,44.422,760,0,0,0,0,0,0,0,0,0,21.161,961
1950,7,"","00N",140,61000014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,7,"","05N",140,61050014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,7,"","05N",145,61050014500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,7,"","05N",155,61050015500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,7,"","05N",160,61050016000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
