"YY","MM","flag_code","LAT5","LON5","cwp_grid","HHOOKS","ALB_C","ALB_N","YFT_C","YFT_N","BET_C","BET_N","MLS_C","MLS_N","BLM_C","BLM_N","BUM_C","BUM_N","SWO_C","SWO_N","OTH_C","OTH_N"
1950,6,"  ","05N","140E",61050014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,6,"  ","05N","145E",61050014500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,6,"  ","05N","150E",61050015000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,6,"JP","00N","140E",61000014000,1952,0,0,121.627,4796,13.32,429,0,0,0,0,62.717,1073,0,0,150.804,6121
1950,6,"JP","00N","145E",61000014500,1359,0,0,94.72,3735,13.507,435,0,0,0,0,44.422,760,0,0,115.881,4696
1950,7,"  ","00N","140E",61000014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,7,"  ","05N","140E",61050014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,7,"  ","05N","145E",61050014500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,7,"  ","05N","155E",61050015500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,7,"  ","05N","160E",61050016000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
