"fishing_fleet","gear_type","time_start","time_end","geographic_identifier","fishing_mode","species","measurement_type","measurement_unit","measurement_value","source_authority","measurement","measurement_processing_level"
"JP","L",1950-01-01,1950-12-31,"WCPO","UNK","ALB","NC","t",16713,"WCPFC","catch","raised"
"US","L",1950-01-01,1950-12-31,"WCPO","UNK","ALB","NC","t",27,"WCPFC","catch","raised"
"JP","P",1950-01-01,1950-12-31,"WCPO","UNK","ALB","NC","t",12863,"WCPFC","catch","raised"
"JP","L",1951-01-01,1951-12-31,"WCPO","UNK","ALB","NC","t",11384,"WCPFC","catch","raised"
"US","L",1951-01-01,1951-12-31,"WCPO","UNK","ALB","NC","t",24,"WCPFC","catch","raised"
"JP","P",1951-01-01,1951-12-31,"WCPO","UNK","ALB","NC","t",14500,"WCPFC","catch","raised"
"JP","L",1952-01-01,1952-12-31,"WCPO","UNK","ALB","NC","t",22340,"WCPFC","catch","raised"
"US","L",1952-01-01,1952-12-31,"WCPO","UNK","ALB","NC","t",46,"WCPFC","catch","raised"
"JP","O",1952-01-01,1952-12-31,"WCPO","UNK","ALB","NC","t",237,"WCPFC","catch","raised"
"JP","P",1952-01-01,1952-12-31,"WCPO","UNK","ALB","NC","t",41787,"WCPFC","catch","raised"
"JP","S",1952-01-01,1952-12-31,"WCPO","UNK","ALB","NC","t",154,"WCPFC","catch","raised"
"JP","L",1953-01-01,1953-12-31,"WCPO","UNK","ALB","NC","t",23604,"WCPFC","catch","raised"
"US","L",1953-01-01,1953-12-31,"WCPO","UNK","ALB","NC","t",23,"WCPFC","catch","raised"
"JP","O",1953-01-01,1953-12-31,"WCPO","UNK","ALB","NC","t",132,"WCPFC","catch","raised"
"JP","P",1953-01-01,1953-12-31,"WCPO","UNK","ALB","NC","t",32921,"WCPFC","catch","raised"
"JP","S",1953-01-01,1953-12-31,"WCPO","UNK","ALB","NC","t",38,"WCPFC","catch","raised"
"JP","L",1954-01-01,1954-12-31,"WCPO","UNK","ALB","NC","t",25864,"WCPFC","catch","raised"
"US","L",1954-01-01,1954-12-31,"WCPO","UNK","ALB","NC","t",13,"WCPFC","catch","raised"
"JP","O",1954-01-01,1954-12-31,"WCPO","UNK","ALB","NC","t",38,"WCPFC","catch","raised"
"JP","P",1954-01-01,1954-12-31,"WCPO","UNK","ALB","NC","t",28069,"WCPFC","catch","raised"
"JP","S",1954-01-01,1954-12-31,"WCPO","UNK","ALB","NC","t",23,"WCPFC","catch","raised"
"JP","L",1955-01-01,1955-12-31,"WCPO","UNK","ALB","NC","t",21179,"WCPFC","catch","raised"
"US","L",1955-01-01,1955-12-31,"WCPO","UNK","ALB","NC","t",9,"WCPFC","catch","raised"
"JP","O",1955-01-01,1955-12-31,"WCPO","UNK","ALB","NC","t",136,"WCPFC","catch","raised"
"JP","P",1955-01-01,1955-12-31,"WCPO","UNK","ALB","NC","t",24236,"WCPFC","catch","raised"
"JP","S",1955-01-01,1955-12-31,"WCPO","UNK","ALB","NC","t",8,"WCPFC","catch","raised"
"JP","L",1956-01-01,1956-12-31,"WCPO","UNK","ALB","NC","t",18229,"WCPFC","catch","raised"
"US","L",1956-01-01,1956-12-31,"WCPO","UNK","ALB","NC","t",6,"WCPFC","catch","raised"
"JP","O",1956-01-01,1956-12-31,"WCPO","UNK","ALB","NC","t",57,"WCPFC","catch","raised"
"JP","P",1956-01-01,1956-12-31,"WCPO","UNK","ALB","NC","t",42810,"WCPFC","catch","raised"
"JP","L",1957-01-01,1957-12-31,"WCPO","UNK","ALB","NC","t",24113,"WCPFC","catch","raised"
"US","L",1957-01-01,1957-12-31,"WCPO","UNK","ALB","NC","t",4,"WCPFC","catch","raised"
"JP","O",1957-01-01,1957-12-31,"WCPO","UNK","ALB","NC","t",151,"WCPFC","catch","raised"
"JP","P",1957-01-01,1957-12-31,"WCPO","UNK","ALB","NC","t",49500,"WCPFC","catch","raised"
"JP","S",1957-01-01,1957-12-31,"WCPO","UNK","ALB","NC","t",83,"WCPFC","catch","raised"
"JP","L",1958-01-01,1958-12-31,"WCPO","UNK","ALB","NC","t",29549,"WCPFC","catch","raised"
"KR","L",1958-01-01,1958-12-31,"WCPO","UNK","ALB","NC","t",146,"WCPFC","catch","raised"
"TW","L",1958-01-01,1958-12-31,"WCPO","UNK","ALB","NC","t",27,"WCPFC","catch","raised"
"US","L",1958-01-01,1958-12-31,"WCPO","UNK","ALB","NC","t",7,"WCPFC","catch","raised"
"JP","O",1958-01-01,1958-12-31,"WCPO","UNK","ALB","NC","t",124,"WCPFC","catch","raised"
"JP","P",1958-01-01,1958-12-31,"WCPO","UNK","ALB","NC","t",22175,"WCPFC","catch","raised"
"JP","S",1958-01-01,1958-12-31,"WCPO","UNK","ALB","NC","t",8,"WCPFC","catch","raised"
"JP","L",1959-01-01,1959-12-31,"WCPO","UNK","ALB","NC","t",26174,"WCPFC","catch","raised"
"KR","L",1959-01-01,1959-12-31,"WCPO","UNK","ALB","NC","t",456,"WCPFC","catch","raised"
"TW","L",1959-01-01,1959-12-31,"WCPO","UNK","ALB","NC","t",38,"WCPFC","catch","raised"
