"YY","GEAR_CODE","FLAG_CODE","FLEET_CODE","SP_CODE","SP_NAME","SP_MT"
1950,"O","ID",NA,"SKJ","SKIPJACK TUNA",2645
1950,"O","ID",NA,"YFT","YELLOWFIN TUNA",625
1950,"O","PH",NA,"SKJ","SKIPJACK TUNA",2782
1950,"O","PH",NA,"YFT","YELLOWFIN TUNA",2314
1951,"O","ID",NA,"SKJ","SKIPJACK TUNA",2854
1951,"O","ID",NA,"YFT","YELLOWFIN TUNA",693
1951,"O","JP",NA,"SKJ","SKIPJACK TUNA",1676
1951,"O","PH",NA,"SKJ","SKIPJACK TUNA",2927
1951,"O","PH",NA,"YFT","YELLOWFIN TUNA",2363
1952,"O","ID",NA,"SKJ","SKIPJACK TUNA",3079
