"YY","GEAR_CODE","FLAG_CODE","FLEET_CODE","SP_CODE","SP_NAME","SP_MT"
2006,"L","NU",NA,"BET","BIGEYE TUNA",22
1995,"S","SB",NA,"YFT","YELLOWFIN TUNA",8170
2000,"L","BZ",NA,"ALB","ALBACORE",194
2022,"L","CK",NA,"BUM","BLUE MARLIN",43
2016,"H","PH",NA,"BUM","BLUE MARLIN",616
1999,"L","NC",NA,"YFT","YELLOWFIN TUNA",373
2011,"P","JP","CS","YFT","YELLOWFIN TUNA",1815
1991,"N","JP",NA,"PBF","PACIFIC BLUEFIN TUNA",1
2011,"G","JP",NA,"BET","BIGEYE TUNA",1
1994,"L","PF",NA,"MLS","STRIPED MARLIN",103
2001,"L","TO",NA,"BET","BIGEYE TUNA",191
2020,"L","TO",NA,"BET","BIGEYE TUNA",10
2008,"L","CK",NA,"BUM","BLUE MARLIN",26
2004,"L","KR",NA,"ALB","ALBACORE",1163
2013,"L","AU","AU","MAK","MAKO SHARKS",49
2004,"P","AU",NA,"SKJ","SKIPJACK TUNA",11
2003,"G","VN",NA,"SKJ","SKIPJACK TUNA",9093
1991,"S","US",NA,"BUM","BLUE MARLIN",46
1981,"L","ID",NA,"SFA","INDO-PACIFIC SAILFISH",74
2006,"L","WS",NA,"YFT","YELLOWFIN TUNA",264
