"YY","GEAR_CODE","FLAG_CODE","FLEET_CODE","SP_CODE","SP_NAME","SP_MT"
2023,"L","JP","JP","BET","BIGEYE TUNA",3284
2023,"L","JP","JP","YFT","YELLOWFIN TUNA",3050
2023,"L","JP","JP","SKJ","SKIPJACK TUNA",39
1999,"L","PF",NA,"YFT","YELLOWFIN TUNA",756
1999,"L","PF",NA,"BET","BIGEYE TUNA",276
1999,"L","PF",NA,"ALB","ALBACORE",2580
1999,"L","PF",NA,"SKJ","SKIPJACK TUNA",103
1961,"L","JP","JP","YFT","YELLOWFIN TUNA",49618
1961,"L","JP","JP","ALB","ALBACORE",32264
1961,"L","JP","JP","BET","BIGEYE TUNA",35657
2014,"L","TW","OS","ALB","ALBACORE",4472
2014,"L","TW","OS","BET","BIGEYE TUNA",4030
2014,"L","TW","OS","SKJ","SKIPJACK TUNA",127
2014,"L","TW","OS","YFT","YELLOWFIN TUNA",10399
1964,"L","JP","JP","ALB","ALBACORE",23558
1964,"L","JP","JP","YFT","YELLOWFIN TUNA",41507
1964,"L","JP","JP","BET","BIGEYE TUNA",28525
2003,"L","PF",NA,"YFT","YELLOWFIN TUNA",159
2003,"L","PF",NA,"BET","BIGEYE TUNA",93
2003,"L","PF",NA,"SKJ","SKIPJACK TUNA",13
2003,"L","PF",NA,"ALB","ALBACORE",613
1976,"L","KR",NA,"YFT","YELLOWFIN TUNA",15118
1976,"L","KR",NA,"BET","BIGEYE TUNA",20176
1976,"L","KR",NA,"ALB","ALBACORE",9008
1976,"L","KR",NA,"SKJ","SKIPJACK TUNA",162
1958,"L","TW","OS","BET","BIGEYE TUNA",1604
1958,"L","TW","OS","YFT","YELLOWFIN TUNA",3370
1958,"L","TW","OS","ALB","ALBACORE",27
2000,"L","JP","JP","YFT","YELLOWFIN TUNA",18654
2000,"L","JP","JP","SKJ","SKIPJACK TUNA",15
2000,"L","JP","JP","BET","BIGEYE TUNA",18131
2000,"L","JP","JP","ALB","ALBACORE",12430
1981,"L","TW","DW","YFT","YELLOWFIN TUNA",1875
1981,"L","TW","DW","SKJ","SKIPJACK TUNA",13
1981,"L","TW","DW","BET","BIGEYE TUNA",998
1981,"L","TW","DW","ALB","ALBACORE",12285
2009,"L","KR",NA,"BET","BIGEYE TUNA",14589
2009,"L","KR",NA,"SKJ","SKIPJACK TUNA",10
2009,"L","KR",NA,"ALB","ALBACORE",1674
2009,"L","KR",NA,"YFT","YELLOWFIN TUNA",9446
1982,"L","TW","DW","ALB","ALBACORE",9052
1982,"L","TW","DW","SKJ","SKIPJACK TUNA",14
1982,"L","TW","DW","BET","BIGEYE TUNA",772
1982,"L","TW","DW","YFT","YELLOWFIN TUNA",934
2022,"L","PF",NA,"YFT","YELLOWFIN TUNA",212
2022,"L","PF",NA,"BLM","BLACK MARLIN",1
2022,"L","PF",NA,"SKJ","SKIPJACK TUNA",3
2022,"L","PF",NA,"ALB","ALBACORE",817
2022,"L","PF",NA,"BET","BIGEYE TUNA",227
2022,"L","PF",NA,"BUM","BLUE MARLIN",41
2004,"L","VU",NA,"YFT","YELLOWFIN TUNA",1641
2004,"L","VU",NA,"BET","BIGEYE TUNA",1817
2004,"L","VU",NA,"ALB","ALBACORE",9628
1996,"L","VU",NA,"YFT","YELLOWFIN TUNA",276
1996,"L","VU",NA,"ALB","ALBACORE",192
1996,"L","VU",NA,"BET","BIGEYE TUNA",67
1992,"L","CN",NA,"BET","BIGEYE TUNA",1400
1992,"L","CN",NA,"YFT","YELLOWFIN TUNA",1315
2020,"L","PF",NA,"SKJ","SKIPJACK TUNA",4
2020,"L","PF",NA,"ALB","ALBACORE",478
2020,"L","PF",NA,"YFT","YELLOWFIN TUNA",226
2020,"L","PF",NA,"BET","BIGEYE TUNA",109
1974,"L","TW","OS","BET","BIGEYE TUNA",1906
1974,"L","TW","OS","ALB","ALBACORE",84
1974,"L","TW","OS","SKJ","SKIPJACK TUNA",261
1974,"L","TW","OS","YFT","YELLOWFIN TUNA",7778
1988,"L","JP","JP","ALB","ALBACORE",12167
1988,"L","JP","JP","BET","BIGEYE TUNA",29345
1988,"L","JP","JP","SKJ","SKIPJACK TUNA",21
1988,"L","JP","JP","YFT","YELLOWFIN TUNA",33027
1982,"L","JP","JP","SKJ","SKIPJACK TUNA",28
1982,"L","JP","JP","ALB","ALBACORE",16273
1982,"L","JP","JP","BET","BIGEYE TUNA",32875
1982,"L","JP","JP","YFT","YELLOWFIN TUNA",46377
2022,"P","PF",NA,"YFT","YELLOWFIN TUNA",14
2022,"P","PF",NA,"SKJ","SKIPJACK TUNA",7
2022,"P","PF",NA,"ALB","ALBACORE",1
1987,"L","KR",NA,"YFT","YELLOWFIN TUNA",9945
1987,"L","KR",NA,"BET","BIGEYE TUNA",13586
1987,"L","KR",NA,"SKJ","SKIPJACK TUNA",18
1987,"L","KR",NA,"ALB","ALBACORE",2900
2009,"L","TW","OS","ALB","ALBACORE",8730
2009,"L","TW","OS","YFT","YELLOWFIN TUNA",17050
2009,"L","TW","OS","BET","BIGEYE TUNA",4582
1987,"L","TW","DW","SKJ","SKIPJACK TUNA",1
1987,"L","TW","DW","ALB","ALBACORE",10312
1987,"L","TW","DW","BET","BIGEYE TUNA",240
1987,"L","TW","DW","YFT","YELLOWFIN TUNA",910
1984,"L","TW","DW","YFT","YELLOWFIN TUNA",1374
1984,"L","TW","DW","ALB","ALBACORE",9671
1984,"L","TW","DW","BET","BIGEYE TUNA",726
1984,"L","TW","DW","SKJ","SKIPJACK TUNA",6
2011,"L","KR",NA,"SKJ","SKIPJACK TUNA",37
2011,"L","KR",NA,"BET","BIGEYE TUNA",13789
2011,"L","KR",NA,"YFT","YELLOWFIN TUNA",7817
2011,"L","KR",NA,"ALB","ALBACORE",555
2011,"L","CN",NA,"YFT","YELLOWFIN TUNA",3732
2011,"L","CN",NA,"BET","BIGEYE TUNA",7870
2011,"L","CN",NA,"ALB","ALBACORE",10642
1996,"S","EP",NA,"BET","BIGEYE TUNA",298
1996,"S","EP",NA,"YFT","YELLOWFIN TUNA",52
1996,"S","EP",NA,"SKJ","SKIPJACK TUNA",282
2008,"L","ES",NA,"ALB","ALBACORE",38
2008,"L","ES",NA,"YFT","YELLOWFIN TUNA",10
2008,"L","ES",NA,"BET","BIGEYE TUNA",67
2006,"L","ES",NA,"YFT","YELLOWFIN TUNA",127
2006,"L","ES",NA,"BET","BIGEYE TUNA",62
2006,"L","ES",NA,"SKJ","SKIPJACK TUNA",602
2002,"P","PF",NA,"ALB","ALBACORE",7
2002,"P","PF",NA,"SKJ","SKIPJACK TUNA",513
2002,"P","PF",NA,"YFT","YELLOWFIN TUNA",99
2015,"L","PF",NA,"SKJ","SKIPJACK TUNA",7
2015,"L","PF",NA,"BET","BIGEYE TUNA",90
2015,"L","PF",NA,"ALB","ALBACORE",554
