src_code,trg_code,src_codingsystem,trg_codingsystem,source_authority
AU,AUS,flag_wcpfc,fishingfleet_firms,WCPFC
BZ,BLZ,flag_wcpfc,fishingfleet_firms,WCPFC
CA,CAN,flag_wcpfc,fishingfleet_firms,WCPFC
CK,COK,flag_wcpfc,fishingfleet_firms,WCPFC
CN,CHN,flag_wcpfc,fishingfleet_firms,WCPFC
EC,ECU,flag_wcpfc,fishingfleet_firms,WCPFC
EP,NEI,flag_wcpfc,fishingfleet_firms,WCPFC
ES,EUESP,flag_wcpfc,fishingfleet_firms,WCPFC
FJ,FJI,flag_wcpfc,fishingfleet_firms,WCPFC
FM,FSM,flag_wcpfc,fishingfleet_firms,WCPFC
ID,IDN,flag_wcpfc,fishingfleet_firms,WCPFC
JP,JPN,flag_wcpfc,fishingfleet_firms,WCPFC
KI,KIR,flag_wcpfc,fishingfleet_firms,WCPFC
KR,KOR,flag_wcpfc,fishingfleet_firms,WCPFC
MH,MHL,flag_wcpfc,fishingfleet_firms,WCPFC
MX,MEX,flag_wcpfc,fishingfleet_firms,WCPFC
NC,EUFRA,flag_wcpfc,fishingfleet_firms,WCPFC
NR,NRU,flag_wcpfc,fishingfleet_firms,WCPFC
NU,NIU,flag_wcpfc,fishingfleet_firms,WCPFC
NZ,NZL,flag_wcpfc,fishingfleet_firms,WCPFC
PF,EUFRA,flag_wcpfc,fishingfleet_firms,WCPFC
PG,PNG,flag_wcpfc,fishingfleet_firms,WCPFC
PH,PHL,flag_wcpfc,fishingfleet_firms,WCPFC
PT,EUPRT,flag_wcpfc,fishingfleet_firms,WCPFC
PW,PLW,flag_wcpfc,fishingfleet_firms,WCPFC
SB,SLB,flag_wcpfc,fishingfleet_firms,WCPFC
SN,SEN,flag_wcpfc,fishingfleet_firms,WCPFC
SU,SUN,flag_wcpfc,fishingfleet_firms,WCPFC
SV,SLV,flag_wcpfc,fishingfleet_firms,WCPFC
TK,TKM,flag_wcpfc,fishingfleet_firms,WCPFC
TO,TON,flag_wcpfc,fishingfleet_firms,WCPFC
TV,TUV,flag_wcpfc,fishingfleet_firms,WCPFC
TW,TWN,flag_wcpfc,fishingfleet_firms,WCPFC
US,USA,flag_wcpfc,fishingfleet_firms,WCPFC
VN,VNM,flag_wcpfc,fishingfleet_firms,WCPFC
VU,VUT,flag_wcpfc,fishingfleet_firms,WCPFC
WF,WLF,flag_wcpfc,fishingfleet_firms,WCPFC
WS,WSM,flag_wcpfc,fishingfleet_firms,WCPFC
ALB,ALB,species_wcpfc,species_asfis,WCPFC
BET,BET,species_wcpfc,species_asfis,WCPFC
BLM,BLM,species_wcpfc,species_asfis,WCPFC
BSH,BSH,species_wcpfc,species_asfis,WCPFC
BUM,BUM,species_wcpfc,species_asfis,WCPFC
FAL,FAL,species_wcpfc,species_asfis,WCPFC
MAK,MAK,species_wcpfc,species_asfis,WCPFC
MLS,MLS,species_wcpfc,species_asfis,WCPFC
OCS,OCS,species_wcpfc,species_asfis,WCPFC
PBF,PBF,species_wcpfc,species_asfis,WCPFC
POR,POR,species_wcpfc,species_asfis,WCPFC
SKJ,SKJ,species_wcpfc,species_asfis,WCPFC
SWO,SWO,species_wcpfc,species_asfis,WCPFC
THR,THR,species_wcpfc,species_asfis,WCPFC
YFT,YFT,species_wcpfc,species_asfis,WCPFC
RHN,RHN,species_wcpfc,species_asfis,WCPFC
G,07.2,gear_wcpfc,isscfg_revision_1,WCPFC
H,09.1,gear_wcpfc,isscfg_revision_1,WCPFC
K,09.9,gear_wcpfc,isscfg_revision_1,WCPFC
L,09.31,gear_wcpfc,isscfg_revision_1,WCPFC
N,07.2,gear_wcpfc,isscfg_revision_1,WCPFC
O,10.9,gear_wcpfc,isscfg_revision_1,WCPFC
P,09.1,gear_wcpfc,isscfg_revision_1,WCPFC
R,01.1,gear_wcpfc,isscfg_revision_1,WCPFC
S,01.1,gear_wcpfc,isscfg_revision_1,WCPFC
T,09.5,gear_wcpfc,isscfg_revision_1,WCPFC
