Identifier,Title,Description,Subject,Creator,Date,Type,Language,SpatialCoverage,TemporalCoverage,Format,Relation,Rights,Provenance,Data
id:fishingfleet_firms,title:Fishing fleet,"abstract:A group of fishing vessels authorized to operate in a t-RFMO convention area / area of competence, and whose fishing operations and catches of tuna and tuna-like species are responsibility of, and accounted for by a political entity or sub-entity recognized by the corresponding t-RFMO. To be noted that the actual occurrences of the Fishing fleet concept do not necessarily refer or correspond to a recognized country (e.g.: EUR - European Union, FRAT – French territories), nor to a distinct member / contracting party / cooperating, non-contracting party of a t-RFMO (e.g.: EU,ESP - EU (Spain), TWN – Chinese Taipei / Taiwan province of China – for some t-RFMOs). The proposed list of fishing fleet codes also includes a generic reference that applies to fishing operations and catches from unidentified sources (e.g.: NEI - not elsewhere identified).
",,"owner:FIRMS-Secretariat@fao.org_
metadata:FIRMS-Secretariat@fao.org_
pointOfContact:FIRMS-Secretariat@fao.org_
principalInvestigator:FIRMS-Secretariat@fao.org_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,,,"statement:Data management workflow_
process:The code list was prepared by the five t-RFMOs, in collaboration with FAO and the CWP adhoc reference harmonization task group, and made available through the repository https://github.com/fdiwg/fdi-codelists ._
process:The code list was integrated into the Tuna atlas database.","source:cl_fishing_fleet.csv@https://raw.githubusercontent.com/fdiwg/fdi-codelists/main/global/firms/gta/cl_fishing_fleet.csv_
sourceType:csv_
uploadSource:fishing_fleet.fishingfleet_firms_
uploadType:dbtable"
id:isscfg_revision_1,title:International Standard Classification of Fishing Gears (ISSCFG Rev.1),"abstract:The International Standard Statistical Classification of Fishing Gear (ISSCFG) was originally adopted during the 10th Session of the CWP (Madrid, 22-29 July 1980). The revised Classification - ISSCFG Revision 1 (Annex M II) - has been endorsed and adopted for CWP Member's implementation by the CWP at its 25th Session (Rome, 23-26 February 2016).
",,"owner:FAO-HQ@fao.org,luca.garibaldi@fao.org_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:CWP-Secretariat@fao.org_
principalInvestigator:stefania.savore@fao.org_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,http:website[Source website]@https://www.fao.org/cwp-on-fishery-statistics/handbook/capture-fisheries-statistics/fishing-gear-classification,,"statement:Data management workflow_
process: The code list was downloaded at https://www.fao.org/3/bt988e/bt988e.pdf_
process: The code list was transformed in CSV format, and made available through the repository https://github.com/fdiwg/fdi-codelists _
process: The code list was integrated into the Tuna atlas database.","source:cl_isscfg_gear.csv@https://raw.githubusercontent.com/fdiwg/fdi-codelists/main/global/cwp/cl_isscfg_gear.csv_
sourceType:csv_
uploadSource:gear_type.isscfg_revision_1_
uploadType:dbtable"
id:species_asfis,title:ASFIS List of Species for Fishery Statistics Purposes,"abstract:""The FAO Fisheries and Aquaculture Statistics and Information Branch (FIAS) collates world capture and aquaculture production statistics at either the species, genus, family or higher taxonomic levels in 2 269 statistical categories (2015 data) referred to as species items.

ASFIS list of species includes 13 417 species items selected according to their interest or relation to fisheries and aquaculture. For each species item stored in a record, codes (ISSCAAP group, taxonomic and 3-alpha) and taxonomic information (scientific name, author(s), family, and higher taxonomic classification) are provided. An English name is available for most of the records, and about one third of them have also a French and Spanish name. Information is also provided about the availability of fishery production statistics on the species item in the FAO databases.""
",,"owner:FAO-HQ@fao.org,luca.garibaldi@fao.org_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:CWP-Secretariat@fao.org_
principalInvestigator:stefania.savore@fao.org_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,http:website[Source website]@http://www.fao.org/fishery/collection/asfis/en,,"statement:Data management workflow_
process: The code list was downloaded on the -- at this url: http://www.fao.org/fishery/static/ASFIS/ASFIS_sp.zip reached through this web page: http://www.fao.org/fishery/collection/asfis/en_
process: The code list was transformed in CSV format, and made available through the repository https://github.com/fdiwg/fdi-codelists ._
process: The code list was integrated into the Tuna atlas database.","source:cl_asfis_species.csv@https://raw.githubusercontent.com/fdiwg/fdi-codelists/main/global/cl_asfis_species.csv_
sourceType:csv_
uploadSource:species.species_asfis_
uploadType:dbtable"
id:cwp_grid,title:Areal grid system recommended by the Coordinating Working Party on Fishery Statistics (CWP).,"abstract:Recognizing the need for areal breakdown, the CWP has suggested that a graticule-based system could be used throughout the globe and has recommended that the quadrangles (also called rectangles or squares) be coded and identified according to the following standard rules:
a) the identification of the latitude should be given before that of the longitude;
b) each quadrangle (rectangle) should be identified by its graticule-based boundaries as defined by the latitude and the longitude meeting in its corner nearest to the point where the Equator is crossed by the Greenwich Meridian;
c) the foregoing data on latitude and longitude should be preceded by (i) the first digit identifying the size of the quadrangle and then by (ii) a second digit indicating the quadrant of the globe in which the quadrangle is located.
More detail here: https://www.fao.org/cwp-on-fishery-statistics/handbook/general-concepts/main-water-areas/fr/#c737133
",,"owner:FAO-HQ@fao.org_
metadata:emmanuel.blondel@fao.org_
pointOfContact:CWP-Secretariat@fao.org_
principalInvestigator:CWP-Secretariat@fao.org_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org",,codelist,eng,,,,http:website[Source website]@https://www.fao.org/cwp-on-fishery-statistics/handbook/general-concepts/main-water-areas/fr/#c737133,,"statement:Data management workflow_
process: The areal grid was built following the CWP recommendations available here https://www.fao.org/cwp-on-fishery-statistics/handbook/general-concepts/main-water-areas/fr/#c737133 ._
process: The code list was integrated into the Tuna atlas database.
","source:cl_areal_grid.zip@https://github.com/fdiwg/fdi-codelists/raw/main/global/cwp/cl_areal_grid.zip_
sourceType:csv_
uploadSource:area.cwp_grid_
uploadType:dbtable"
id:cwp_grid_erased,title:Areal grid system recommended by the Coordinating Working Party on Fishery Statistics (CWP). Erased by coastline.,"abstract:Recognizing the need for areal breakdown, the CWP has suggested that a graticule-based system could be used throughout the globe and has recommended that the quadrangles (also called rectangles or squares) be coded and identified according to the following standard rules:
a) the identification of the latitude should be given before that of the longitude;
b) each quadrangle (rectangle) should be identified by its graticule-based boundaries as defined by the latitude and the longitude meeting in its corner nearest to the point where the Equator is crossed by the Greenwich Meridian;
c) the foregoing data on latitude and longitude should be preceded by (i) the first digit identifying the size of the quadrangle and then by (ii) a second digit indicating the quadrant of the globe in which the quadrangle is located.
More detail here: https://www.fao.org/cwp-on-fishery-statistics/handbook/general-concepts/main-water-areas/fr/#c737133
",,"owner:FAO-HQ@fao.org_
metadata:emmanuel.blondel@fao.org_
pointOfContact:CWP-Secretariat@fao.org_
principalInvestigator:CWP-Secretariat@fao.org_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org",,codelist,eng,,,,http:website[Source website]@https://www.fao.org/cwp-on-fishery-statistics/handbook/general-concepts/main-water-areas/fr/#c737133,,"statement:Data management workflow_
process: The areal grid was built following the CWP recommendations available here https://www.fao.org/cwp-on-fishery-statistics/handbook/general-concepts/main-water-areas/fr/#c737133 ._
process: The code list was integrated into the Tuna atlas database.
","source:cl_areal_grid_erased.zip@https://github.com/fdiwg/fdi-codelists/raw/main/global/cwp/cl_areal_grid_erased.zip_
sourceType:csv_
uploadSource:area.cwp_grid_erased_
uploadType:dbtable"
id:areas_conversion_factors_numtoweight_ird,Conversion factors areas (conversion from number to weight) used in the IRD Tuna Atlas,"abstract:Areas used for the conversion of catches from number of fishes harvested to weigth. These areas are known to have quite distinct average weights.
For additional information, see: http://mdst-macroes.ird.fr/documentation/databases/Sardara/docSardara/doc_processes/Weight_computation_manu.odt",,"owner:ird@ird.fr,paul.taconet@ird.fr;alain.fonteneau@ird.fr_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:paul.taconet@ird.fr_
principalInvestigator:emmanuel.chassot@ird.fr_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,,,"statement:Data management workflow_
process: The code list was integrated into the Tuna atlas database","source:areas_conversion_factors_numtoweight_ird.csv@https://github.com/fdiwg/fdi-codelists/raw/main/global/ird/areas_conversion_factors_numtoweigth_ird.csv_
sourceType:csv_
uploadSource:area.areas_conversion_factors_numtoweight_ird_
uploadType:dbtable"
id:IOTC_areas,Indian Ocean Main Areas defined by the Indian Ocean Tuna Commission (IOTC),"abstract:Reference codes modelling the two main areas in which the Indian Ocean is split, i.e., western and eastern Indian Ocean. The geographic boundaries of the Convention Area, including its sub-areas, sampling areas, stock areas, and management areas as currently defined for each species, are available as layers for analysis and visualization. These layers are exported in geopackage and shapefile formats, making them easily accessible through GIS tools, including free and open-source software such as QGIS.
",,"owner:IOTC-Secretariat@iotc.org_
metadata:FIRMS-Secretariat@fao.org_
pointOfContact:IOTC-Secretariat@iotc.org_
principalInvestigator:IOTC-Secretariat@iotc.org_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,,,"statement:Data management workflow_
process: The geographic layer was downloaded from the IOTC reference data repository._
process: The layer describes the two main areas in which the Indian Ocean is split, namely the western and eastern Indian Ocean._
process: The layer was integrated into the Tuna atlas database
","source:IO_MAIN_AREAS_1.0.0_SHP.zip@https://data.iotc.org/reference/latest/domain/admin/shapefiles/IO_MAIN_AREAS_1.0.0_SHP.zip_
sourceType:shapefile_
uploadSource:area.IOTC_areas_
uploadType:dbtable"
id:ICCAT_subareas,ICCAT GIS subareas and geographic layers of the Convention Area,"abstract:The International Commission for the Conservation of Atlantic Tunas is responsible for the conservation of tunas and tuna-like species in the Atlantic Ocean and adjacent seas. To support this mission, ICCAT employs a Geographic Information System (GIS) to collect, store, analyze, and visualize geographic data related to these species. This system enhances the understanding of the distribution, habitat, and migratory patterns of tunas and other highly migratory species in the Atlantic, enabling more informed decision-making for the management and conservation of marine resources.
",,"owner:ICCAT-Secretariat@iccat.int_
metadata:FIRMS-Secretariat@fao.org_
pointOfContact:ICCAT-Secretariat@iccat.int_
principalInvestigator:ICCAT-Secretariat@iccat.int_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,,,"statement:Data management workflow_
process: The geographic layer was downloaded from the ICCAT GIS repository._
process: The layer contains the spatial definitions used by ICCAT for the Convention Area and related subareas used for analysis and visualization._
process: Licensing and terms of use follow CC BY-NC-SA 4.0 IGO._
process: The layer was integrated into the Tuna atlas database
","source:ICCAT_gis.rar@https://www.iccat.int/Documents/Gis/ICCAT_gis.rar_
sourceType:shapefile_
uploadSource:area.ICCAT_subareas_
uploadType:dbtable
featureType:iccat_subareas"
id:catchtype_ccsbt,Code list for types of catch used by CCSBT,"abstract:Code list for types of catches used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). Presently, the CCSBT does not have any catch type code list, since the public datasets do not contain a catch type stratification. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database.
",,"owner:ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:CMillar@ccsbt.org_
principalInvestigator:CMillar@ccsbt.org_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,,,"statement:Data management workflow_
process: The code list was constitued. _
process: The code list was integrated into the Tuna atlas database
","source:cl_catchtype_ccsbt.csv@https://github.com/fdiwg/fdi-codelists/raw/main/global/firms/gta/cl_catchtype_ccsbt.csv_
sourceType:csv_
uploadSource:measurement_type.catchtype_ccsbt_
uploadType:dbtable"
id:catchtype_iattc,Code list for types of catch used by IATTC,"abstract:Code list for types of catches used by the Inter-American Tropical Tuna Commission (IATTC). Presently, the IATTC does not have any catch type code list, since the public datasets do not have a catch type detail. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database.
",,"owner:ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:info@iattc.org_
principalInvestigator:nvogel@iattc.org_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,,,"statement:Data management workflow_
process: The code list was constitued. _
process: The code list was integrated into the Tuna atlas database
","source:cl_catchtype_iattc.csv@https://github.com/fdiwg/fdi-codelists/raw/main/global/firms/gta/cl_catchtype_iattc.csv_
sourceType:csv_
uploadSource:measurement_type.catchtype_iattc_
uploadType:dbtable"
