Identifier,Title,Description,Subject,Creator,Date,Type,Language,SpatialCoverage,TemporalCoverage,Relation,Rights,Format,Provenance,Data
id:codelist_mapping_species_wcpfc_species_asfis,title:Code list mapping: species used by WCPFC to the ASFIS codes,abstract:Mapping (i.e. correspondance) between codes for species used by the Western and Central Pacific Fisheries Commission (WCPFC) and the 3-alpha codes of the ASFIS List of Species for Fishery Statistics Purposes. This mapping was realized by IRD.,,"owner:ird@ird.fr_
metadata:julien.barde@ird.fr,paul.taconet@ird.fr_
pointOfContact:julien.barde@ird.fr_
processor: paul.taconet@ird.fr,paul.taconet@ird.fr",,dataset,eng,,2025-05-05,,,,"statement:Data management workflow_
process: Codes from source and target code lists were matched._
process: The resulting CSV file of mapping was integrated into the Tuna atlas database.","source:./data/fdi-mappings-cache/regional-to-global/WCPFC/codelist_mapping_species_wcpfc_species_asfis.csv_
sourceType:csv_
uploadSource:species.species_mapping_
uploadType:dbtable"
id:codelist_mapping_species_wcpfc_speciesgroup_tunaatlas,title:Code list mapping: species used by WCPFC to groups of species used in the IRD Tuna Atlas,abstract:Mapping (i.e. correspondance) between codes for species used by the Western and Central Pacific Fisheries Commission (WCPFC) and codes for groups of species used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,"owner:ird@ird.fr_
metadata:julien.barde@ird.fr,paul.taconet@ird.fr_
pointOfContact:julien.barde@ird.fr_
processor: paul.taconet@ird.fr,paul.taconet@ird.fr",,dataset,eng,,2025-05-05,,,,"statement:Data management workflow_
process: Codes from source and target code lists were matched._
process: The resulting CSV file of mapping was integrated into the Tuna atlas database.","source:./data/fdi-mappings-cache/regional-to-global/WCPFC/codelist_mapping_species_wcpfc_speciesgroup_tunaatlas.csv_
sourceType:csv_
uploadSource:species.species_mapping_
uploadType:dbtable"
id:codelist_mapping_catchtype_ccsbt_catchtype_tunaatlas,title:Code list mapping: types of catch used by CCSBT to types of catch used in the IRD Tuna Atlas,"abstract:Mapping (i.e. correspondance) between codes for types of catch used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT) and codes for types of catch used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. Presently, the CCSBT does not have any catch type code list, since the public datasets do not have a catch type detail. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database. This mapping was realized by IRD.",,"owner:ird@ird.fr_
metadata:julien.barde@ird.fr,paul.taconet@ird.fr_
pointOfContact:julien.barde@ird.fr_
processor: paul.taconet@ird.fr,paul.taconet@ird.fr",,dataset,eng,,2025-05-05,,,,"statement:Data management workflow_
process: Codes from source and target code lists were matched._
process: The resulting CSV file of mapping was integrated into the Tuna atlas database.","source:./data/fdi-mappings-cache/regional-to-global/CCSBT/codelist_mapping_catchtype_ccsbt_catchtype_tunaatlas.csv_
sourceType:csv_
uploadSource:measurement_type.measurement_type_mapping_
uploadType:dbtable"
id:codelist_mapping_catchtype_iattc_catchtype_tunaatlas,title:Code list mapping: types of catch used by IATTC to types of catch used in the IRD Tuna Atlas,"abstract:Mapping (i.e. correspondance) between codes for types of catch used by the Inter-American Tropical Tuna Commission (IATTC) and codes for types of catch used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. Presently, the IATTC does not have any catch type code list, since the public datasets do not have a catch type detail. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database. This mapping was realized by IRD.",,"owner:ird@ird.fr_
metadata:julien.barde@ird.fr,paul.taconet@ird.fr_
pointOfContact:julien.barde@ird.fr_
processor: paul.taconet@ird.fr,paul.taconet@ird.fr",,dataset,eng,,2025-05-05,,,,"statement:Data management workflow_
process: Codes from source and target code lists were matched._
process: The resulting CSV file of mapping was integrated into the Tuna atlas database.","source:./data/fdi-mappings-cache/regional-to-global/IATTC/codelist_mapping_catchtype_iattc_catchtype_tunaatlas.csv_
sourceType:csv_
uploadSource:measurement_type.measurement_type_mapping_
uploadType:dbtable"
id:codelist_mapping_catchtype_iccat_catchtype_tunaatlas,title:Code list mapping: types of catch used by ICCAT to types of catch used in the IRD Tuna Atlas,abstract:Mapping (i.e. correspondance) between codes for types of catch used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) and codes for types of catch used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,"owner:ird@ird.fr_
metadata:julien.barde@ird.fr,paul.taconet@ird.fr_
pointOfContact:julien.barde@ird.fr_
processor: paul.taconet@ird.fr,paul.taconet@ird.fr",,dataset,eng,,2025-05-05,,,,"statement:Data management workflow_
process: Codes from source and target code lists were matched._
process: The resulting CSV file of mapping was integrated into the Tuna atlas database.","source:./data/fdi-mappings-cache/regional-to-global/ICCAT/codelist_mapping_catchtype_iccat_catchtype_tunaatlas.csv_
sourceType:csv_
uploadSource:measurement_type.measurement_type_mapping_
uploadType:dbtable"
id:codelist_mapping_catchtype_iotc_catchtype_tunaatlas,title:Code list mapping: types of catch used by IOTC to types of catch used in the IRD Tuna Atlas,"abstract:Mapping (i.e. correspondance) between codes for types of catch used by the Indian Ocean Tuna Commission (IOTC) and codes for types of catch used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. Presently, the IOTC does not have any catch type code list, since the public datasets do not have a catch type detail. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database. This mapping was realized by IRD.",,"owner:ird@ird.fr_
metadata:julien.barde@ird.fr,paul.taconet@ird.fr_
pointOfContact:julien.barde@ird.fr_
processor: paul.taconet@ird.fr,paul.taconet@ird.fr",,dataset,eng,,2025-05-05,,,,"statement:Data management workflow_
process: Codes from source and target code lists were matched._
process: The resulting CSV file of mapping was integrated into the Tuna atlas database.","source:./data/fdi-mappings-cache/regional-to-global/IOTC/codelist_mapping_catchtype_iotc_catchtype_tunaatlas.csv_
sourceType:csv_
uploadSource:measurement_type.measurement_type_mapping_
uploadType:dbtable"
id:codelist_mapping_catchtype_wcpfc_catchtype_tunaatlas,title:Code list mapping: types of catch used by WCPFC to types of catch used in the IRD Tuna Atlas,"abstract:Mapping (i.e. correspondance) between codes for types of catch used by the Western and Central Pacific Fisheries Commission (WCPFC) and codes for types of catch used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. Presently, the WCPFC does not have any catch type code list, since the public datasets do not have a catch type detail. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database. This mapping was realized by IRD.",,"owner:ird@ird.fr_
metadata:julien.barde@ird.fr,paul.taconet@ird.fr_
pointOfContact:julien.barde@ird.fr_
processor: paul.taconet@ird.fr,paul.taconet@ird.fr",,dataset,eng,,2025-05-05,,,,"statement:Data management workflow_
process: Codes from source and target code lists were matched._
process: The resulting CSV file of mapping was integrated into the Tuna atlas database.","source:./data/fdi-mappings-cache/regional-to-global/WCPFC/codelist_mapping_catchtype_wcpfc_catchtype_tunaatlas.csv_
sourceType:csv_
uploadSource:measurement_type.measurement_type_mapping_
uploadType:dbtable"
id:codelist_mapping_effortunit_ccsbt_effortunit_rfmos,title:Code list mapping: units of fishing effort used by CCSBT to units of fishing effort used in the IRD Tuna Atlas,abstract:Mapping (i.e. correspondance) between codes for units of fishing effort used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT) and codes for units of fishing effort used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,"owner:ird@ird.fr_
metadata:julien.barde@ird.fr,paul.taconet@ird.fr_
pointOfContact:julien.barde@ird.fr_
processor: paul.taconet@ird.fr,paul.taconet@ird.fr",,dataset,eng,,2025-05-05,,,,"statement:Data management workflow_
process: Codes from source and target code lists were matched._
process: The resulting CSV file of mapping was integrated into the Tuna atlas database.","source:./data/fdi-mappings-cache/regional-to-global/CCSBT/codelist_mapping_effortunit_ccsbt_effortunit_rfmos.csv_
sourceType:csv_
uploadSource:measurement_unit.measurement_unit_mapping_
uploadType:dbtable"
id:codelist_mapping_effortunit_iattc_effortunit_rfmos,title:Code list mapping: units of fishing effort used by IATTC to units of fishing effort used in the IRD Tuna Atlas,abstract:Mapping (i.e. correspondance) between codes for units of fishing effort used by the Inter-American Tropical Tuna Commission (IATTC) and codes for units of fishing effort used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,"owner:ird@ird.fr_
metadata:julien.barde@ird.fr,paul.taconet@ird.fr_
pointOfContact:julien.barde@ird.fr_
processor: paul.taconet@ird.fr,paul.taconet@ird.fr",,dataset,eng,,2025-05-05,,,,"statement:Data management workflow_
process: Codes from source and target code lists were matched._
process: The resulting CSV file of mapping was integrated into the Tuna atlas database.","source:./data/fdi-mappings-cache/regional-to-global/IATTC/codelist_mapping_effortunit_iattc_effortunit_rfmos.csv_
sourceType:csv_
uploadSource:measurement_unit.measurement_unit_mapping_
uploadType:dbtable"
id:codelist_mapping_effortunit_iccat_effortunit_rfmos,title:Code list mapping: units of fishing effort used by ICCAT to units of fishing effort used in the IRD Tuna Atlas,abstract:Mapping (i.e. correspondance) between codes for units of fishing effort used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) and codes for units of fishing effort used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,"owner:ird@ird.fr_
metadata:julien.barde@ird.fr,paul.taconet@ird.fr_
pointOfContact:julien.barde@ird.fr_
processor: paul.taconet@ird.fr,paul.taconet@ird.fr",,dataset,eng,,2025-05-05,,,,"statement:Data management workflow_
process: Codes from source and target code lists were matched._
process: The resulting CSV file of mapping was integrated into the Tuna atlas database.","source:./data/fdi-mappings-cache/regional-to-global/ICCAT/codelist_mapping_effortunit_iccat_effortunit_rfmos.csv_
sourceType:csv_
uploadSource:measurement_unit.measurement_unit_mapping_
uploadType:dbtable"
