"source_authority","dimensions_to_map","db_mapping_dataset_name"
"IOTC","gear","codelist_mapping_gear_iotc_isscfg_revision_1"
"ICCAT","gear","codelist_mapping_gear_iccat_isscfg_revision_1"
"IATTC","gear","codelist_mapping_gear_iattc_isscfg_revision_1"
"WCPFC","gear","codelist_mapping_gear_wcpfc_isscfg_revision_1"
"CCSBT","gear","codelist_mapping_gear_ccsbt_isscfg_revision_1"
"IOTC","species","codelist_mapping_species_iotc_species_asfis"
"ICCAT","species","codelist_mapping_species_iccat_species_asfis"
"IATTC","species","codelist_mapping_species_iattc_species_asfis"
"WCPFC","species","codelist_mapping_species_wcpfc_species_asfis"
"CCSBT","species","codelist_mapping_species_ccsbt_species_asfis"
"IOTC","fishingfleet","codelist_mapping_flag_iotc_fishingfleet_firms"
"ICCAT","fishingfleet","codelist_mapping_flag_iccat_fishingfleet_firms"
"IATTC","fishingfleet","codelist_mapping_flag_iattc_fishingfleet_firms"
"WCPFC","fishingfleet","codelist_mapping_flag_wcpfc_fishingfleet_firms"
"CCSBT","fishingfleet","codelist_mapping_flag_ccsbt_fishingfleet_firms"
"IOTC","schooltype","codelist_mapping_schooltype_iotc_schooltype_rfmos"
"ICCAT","schooltype","codelist_mapping_schooltype_iccat_schooltype_rfmos"
"IATTC","schooltype","codelist_mapping_schooltype_iattc_schooltype_rfmos"
"WCPFC","schooltype","codelist_mapping_schooltype_wcpfc_schooltype_rfmos"
"CCSBT","schooltype","codelist_mapping_schooltype_ccsbt_schooltype_rfmos"
"IOTC","catchtype","codelist_mapping_catchtype_iotc_catchtype_tunaatlas"
"ICCAT","catchtype","codelist_mapping_catchtype_iccat_catchtype_tunaatlas"
"IATTC","catchtype","codelist_mapping_catchtype_iattc_catchtype_tunaatlas"
"WCPFC","catchtype","codelist_mapping_catchtype_wcpfc_catchtype_tunaatlas"
"CCSBT","catchtype","codelist_mapping_catchtype_ccsbt_catchtype_tunaatlas"
"IOTC","unit","codelist_mapping_effortunit_iotc_effortunit_rfmos"
"ICCAT","unit","codelist_mapping_effortunit_iccat_effortunit_rfmos"
"IATTC","unit","codelist_mapping_effortunit_iattc_effortunit_rfmos"
"WCPFC","unit","codelist_mapping_effortunit_wcpfc_effortunit_rfmos"
"CCSBT","unit","codelist_mapping_effortunit_ccsbt_effortunit_rfmos"
