FeatureType,MemberCode,MemberName,MemberType,MinOccurs,MaxOccurs,Definition,DefinitionSource,MeasurementUnit,RegisterId,RegisterScript
catch,geom,Geometry,attribute,0,Inf,"Spatial area (zone) where the fact has taken place. The data in Sardara are mainly defined on the following areas:
- Nominal catch are mostly defined on the areas of competence of the RFMOs. For some RFMOs, the spatial stratification can be thinner: IOTC gives nominal catch at the FAO areas scale and ICCAT gives it at the sampling area scale
- Georeferenced catch and effort and catch-at-size are mostly defined on 1° or 5° square resolution. In some cases irregular areas are also used (e.g. in IOTC). This may happen when the reporting country/institution does not provide the data at 1°/5° resolution",,,,
catch,area,Area,attribute,0,Inf,"Spatial area (zone) where the fact has taken place. The data in Sardara are mainly defined on the following areas:
- Nominal catch are mostly defined on the areas of competence of the RFMOs. For some RFMOs, the spatial stratification can be thinner: IOTC gives nominal catch at the FAO areas scale and ICCAT gives it at the sampling area scale
- Georeferenced catch and effort and catch-at-size are mostly defined on 1° or 5° square resolution. In some cases irregular areas are also used (e.g. in IOTC). This may happen when the reporting country/institution does not provide the data at 1°/5° resolution",,,,
catch,geographic_identifier,Geographic identifier,attribute,0,Inf,Unique identifier of the spatial area (zone) where the fact has taken place.,,,,
catch,time,Time,attribute,0,Inf,"Dating of the fact. In Sardara, the dating is provided as two columns: time_start gives the first date of availability of the measure (included) and time_end gives the last date of availability of the measure (not included). The data in Sardara are mainly defined over the following time steps:
- Nominal catch are mostly defined on 1 year resolution
- Georeferenced catch-and-effort and catch-at-size are mostly defined on 1 month resolution",,,,
catch,time_start,Time start,attribute,0,Inf,Start time of the fact,,,,
catch,time_end,Time end,attribute,0,Inf,End time of the fact,,,,
catch,year,Year,attribute,0,Inf,Year,,,,
catch,quarter,Quarter,attribute,0,Inf,Quarter,,,,
catch,month,Month,attribute,0,Inf,Month,,,,./R/tunaatlas_scripts/tunaatlas_registers.R
catch,source,Source authority,attribute,0,Inf,Authority from which data has been collated and/or that owns the source data,,,register_source_authority,./R/tunaatlas_scripts/tunaatlas_registers.R
catch,source_authority,Source authority,attribute,0,Inf,Authority from which data has been collated and/or that owns the source data,,,register_source_authority,./R/tunaatlas_scripts/tunaatlas_registers.R
catch,fishing_fleet,Fishing fleet,attribute,0,Inf,"Group of fishing vessels authorized to operate in a t-RFMO convention area / area of competence, and whose fishing operations and catches of tuna and tuna-like species are responsibility of, and accounted for by a political entity or sub-entity recognized by the corresponding t-RFMO. To be noted that the actual occurrences of the ??ishing fleet??concept do not necessarily refer or correspond to a recognized country (e.g.: EUR - European Union, FRAT ??French territories), nor to a distinct member / contracting party / cooperating, non-contracting party of a t-RFMO (e.g.: EU,ESP - EU (Spain), TWN ??Chinese Taipei / Taiwan province of China ??for some t-RFMOs). The proposed list of fishing fleet codes also includes a generic reference that applies to fishing operations and catches from unidentified sources (e.g.: NEI - not elsewhere identified).",iso3[ISO 3166 -Country Codes]@https://www.iso.org/iso-3166-country-codes.html,,register_fishing_fleet,./R/tunaatlas_scripts/tunaatlas_registers.R
catch,species,Species,attribute,0,Inf,"Species captured. The main tuna species are available in all the RFMOs Depending on the RFMO, some non-target species (e.g. some sharks or turtles) are also reported",asfis[ASFIS List of species for fishery statistics purpose]@http://www.fao.org/fishery/collection/asfis,,register_species,./R/tunaatlas_scripts/tunaatlas_registers.R
catch,fishing_mode,Fishing mode,attribute,0,Inf,"A school is a group of fishes evolving together. The type of school indicates the nature of the school on which the catch has been made: free school, log school, unknown, dolphin",,,register_fishing_mode,./R/tunaatlas_scripts/tunaatlas_registers.R
catch,gear_type,Gear,attribute,0,Inf,"Gear used. The number of gears varies a lot depending on the RFMOs. ICCAT, for instance, has around 60 gears while IATTC has 10 gears",,,register_gear_type,./R/tunaatlas_scripts/tunaatlas_registers.R
catch,measurement_type,Catch type,attribute,0,Inf,"Fate of the catch, i.e. landed, discarded, unknown. Given the nature of the data, only landing data are currently available in SARDARA, with a very few exceptions of discarded fishes for ICCAT",,,register_catch_measurement_type,./R/tunaatlas_scripts/tunaatlas_registers.R
catch,measurement_value,Catch,variable,1,Inf,Quantity of fish in number or biomass harvested in a given stratum,,,,
catch,measurement_unit,Catch unit,attribute,1,1,"Unit of catch (metric tons or number of fish). Catches are mainly given in weight (metric tons), but some historical catch (e.g. japanese longliners) are reported in number of fishes captured. Some catch are also reported in both weight and number",,,register_catch_measurement_unit,./R/tunaatlas_scripts/tunaatlas_registers.R
catch,aggregation_method,Aggregation method,attribute,1,1,"Method used to aggregated data. 'None' for no aggregation and query raw data, 'Sum' for computing a sum, or 'Average' by month, quarter or year",,,register_aggregation_method,./R/tunaatlas_scripts/tunaatlas_registers.R
effort,geom,Geometry,attribute,0,Inf,"Spatial area (zone) where the fact has taken place. The data in Sardara are mainly defined on the following areas:
- Nominal catch are mostly defined on the areas of competence of the RFMOs. For some RFMOs, the spatial stratification can be thinner: IOTC gives nominal catch at the FAO areas scale and ICCAT gives it at the sampling area scale
- Georeferenced catch and effort and catch-at-size are mostly defined on 1° or 5° square resolution. In some cases irregular areas are also used (e.g. in IOTC). This may happen when the reporting country/institution does not provide the data at 1°/5° resolution",,,,
effort,area,Area,attribute,0,Inf,"Spatial area (zone) where the fact has taken place. The data in Sardara are mainly defined on the following areas:
- Nominal catch are mostly defined on the areas of competence of the RFMOs. For some RFMOs, the spatial stratification can be thinner: IOTC gives nominal catch at the FAO areas scale and ICCAT gives it at the sampling area scale
- Georeferenced catch and effort and catch-at-size are mostly defined on 1° or 5° square resolution. In some cases irregular areas are also used (e.g. in IOTC). This may happen when the reporting country/institution does not provide the data at 1°/5° resolution",,,,
effort,geographic_identifier,Geographic identifier,attribute,0,Inf,Unique identifier of the spatial area (zone) where the fact has taken place.,,,,
effort,time,Time,attribute,0,Inf,"Dating of the fact. In Sardara, the dating is provided as two columns: time_start gives the first date of availability of the measure (included) and time_end gives the last date of availability of the measure (not included). The data in Sardara are mainly defined over the following time steps:
- Nominal catch are mostly defined on 1 year resolution
- Georeferenced catch-and-effort and catch-at-size are mostly defined on 1 month resolution",,,,
effort,time_start,Time start,attribute,0,Inf,Start time of the fact,,,,
