code,source_authority,geographic_identifier_nom
5100000,ICCAT,AT-SE
5100001,ICCAT,AT-SE
5100002,ICCAT,AT-SE
5100003,ICCAT,AT-SE
5100004,ICCAT,AT-SE
5100005,ICCAT,AT-SE
5100006,ICCAT,AT-SE
5100007,ICCAT,AT-SE
5100008,ICCAT,AT-SE
5100009,ICCAT,AT-SE
5100043,IOTC,IOTC_WEST
5100044,IOTC,IOTC_WEST
5100045,IOTC,IOTC_WEST
5100046,IOTC,IOTC_WEST
5100047,IOTC,IOTC_WEST
5100048,IOTC,IOTC_WEST
5100049,IOTC,IOTC_WEST
5100050,IOTC,IOTC_WEST
5100051,IOTC,IOTC_WEST
5100052,IOTC,IOTC_WEST
5100053,IOTC,IOTC_WEST
5100054,IOTC,IOTC_WEST
5100055,IOTC,IOTC_WEST
5100056,IOTC,IOTC_WEST
5100057,IOTC,IOTC_WEST
5100058,IOTC,IOTC_WEST
5100059,IOTC,IOTC_WEST
5100060,IOTC,IOTC_WEST
5100061,IOTC,IOTC_WEST
5100062,IOTC,IOTC_WEST
5100063,IOTC,IOTC_WEST
5100064,IOTC,IOTC_WEST
5100065,IOTC,IOTC_WEST
5100066,IOTC,IOTC_WEST
5100067,IOTC,IOTC_WEST
5100068,IOTC,IOTC_WEST
5100069,IOTC,IOTC_WEST
5100070,IOTC,IOTC_WEST
5100071,IOTC,IOTC_WEST
5100072,IOTC,IOTC_WEST
5100073,IOTC,IOTC_WEST
5100074,IOTC,IOTC_WEST
5100075,IOTC,IOTC_WEST
5100081,IOTC,IOTC_EAST
5100082,IOTC,IOTC_EAST
5100083,IOTC,IOTC_EAST
5100084,IOTC,IOTC_EAST
5100085,IOTC,IOTC_EAST
5100086,IOTC,IOTC_EAST
5100087,IOTC,IOTC_EAST
5100088,IOTC,IOTC_EAST
5100089,IOTC,IOTC_EAST
5100090,IOTC,IOTC_EAST
5100091,IOTC,IOTC_EAST
5100092,IOTC,IOTC_EAST
5100093,IOTC,IOTC_EAST
5100094,IOTC,IOTC_EAST
5100095,IOTC,IOTC_EAST
5100096,IOTC,IOTC_EAST
5100097,IOTC,IOTC_EAST
5100098,IOTC,IOTC_EAST
5100099,IOTC,IOTC_EAST
5101000,ICCAT,AT-SE
5101001,ICCAT,AT-SE
5101002,ICCAT,AT-SE
5101003,ICCAT,AT-SE
5101004,ICCAT,AT-SE
5101005,ICCAT,AT-SE
5101006,ICCAT,AT-SE
5101007,ICCAT,AT-SE
5101008,ICCAT,AT-SE
5101009,ICCAT,AT-SE
5101044,IOTC,IOTC_WEST
5101045,IOTC,IOTC_WEST
5101046,IOTC,IOTC_WEST
5101047,IOTC,IOTC_WEST
5101048,IOTC,IOTC_WEST
5101049,IOTC,IOTC_WEST
5101050,IOTC,IOTC_WEST
5101051,IOTC,IOTC_WEST
5101052,IOTC,IOTC_WEST
5101053,IOTC,IOTC_WEST
5101054,IOTC,IOTC_WEST
5101055,IOTC,IOTC_WEST
5101056,IOTC,IOTC_WEST
5101057,IOTC,IOTC_WEST
5101058,IOTC,IOTC_WEST
5101059,IOTC,IOTC_WEST
5101060,IOTC,IOTC_WEST
5101061,IOTC,IOTC_WEST
5101062,IOTC,IOTC_WEST
5101063,IOTC,IOTC_WEST
5101064,IOTC,IOTC_WEST
5101065,IOTC,IOTC_WEST
5101066,IOTC,IOTC_WEST
5101067,IOTC,IOTC_WEST
5101068,IOTC,IOTC_WEST
5101069,IOTC,IOTC_WEST
5101070,IOTC,IOTC_WEST
5101071,IOTC,IOTC_WEST
5101072,IOTC,IOTC_WEST
5101073,IOTC,IOTC_WEST
5101074,IOTC,IOTC_WEST
5101075,IOTC,IOTC_WEST
5101078,IOTC,IOTC_EAST
5101079,IOTC,IOTC_EAST
5101080,IOTC,IOTC_EAST
5101081,IOTC,IOTC_EAST
5101082,IOTC,IOTC_EAST
5101083,IOTC,IOTC_EAST
5101084,IOTC,IOTC_EAST
5101085,IOTC,IOTC_EAST
5101086,IOTC,IOTC_EAST
5101087,IOTC,IOTC_EAST
5101088,IOTC,IOTC_EAST
5101089,IOTC,IOTC_EAST
5101090,IOTC,IOTC_EAST
5101091,IOTC,IOTC_EAST
5101092,IOTC,IOTC_EAST
5101093,IOTC,IOTC_EAST
5101094,IOTC,IOTC_EAST
5101095,IOTC,IOTC_EAST
5101096,IOTC,IOTC_EAST
5101097,IOTC,IOTC_EAST
5101098,IOTC,IOTC_EAST
5102000,ICCAT,AT-SE
5102001,ICCAT,AT-SE
5102002,ICCAT,AT-SE
5102003,ICCAT,AT-SE
5102004,ICCAT,AT-SE
5102005,ICCAT,AT-SE
5102006,ICCAT,AT-SE
5102007,ICCAT,AT-SE
5102008,ICCAT,AT-SE
5102009,ICCAT,AT-SE
5102045,IOTC,IOTC_WEST
5102046,IOTC,IOTC_WEST
5102047,IOTC,IOTC_WEST
5102048,IOTC,IOTC_WEST
5102049,IOTC,IOTC_WEST
5102050,IOTC,IOTC_WEST
5102051,IOTC,IOTC_WEST
5102052,IOTC,IOTC_WEST
5102053,IOTC,IOTC_WEST
5102054,IOTC,IOTC_WEST
5102055,IOTC,IOTC_WEST
5102056,IOTC,IOTC_WEST
5102057,IOTC,IOTC_WEST
5102058,IOTC,IOTC_WEST
5102059,IOTC,IOTC_WEST
5102060,IOTC,IOTC_WEST
5102061,IOTC,IOTC_WEST
5102062,IOTC,IOTC_WEST
5102063,IOTC,IOTC_WEST
5102064,IOTC,IOTC_WEST
5102065,IOTC,IOTC_WEST
5102066,IOTC,IOTC_WEST
5102067,IOTC,IOTC_WEST
5102068,IOTC,IOTC_WEST
5102069,IOTC,IOTC_WEST
5102070,IOTC,IOTC_WEST
5102071,IOTC,IOTC_WEST
5102072,IOTC,IOTC_WEST
5102073,IOTC,IOTC_WEST
5102074,IOTC,IOTC_WEST
5102075,IOTC,IOTC_WEST
5102078,IOTC,IOTC_EAST
5102079,IOTC,IOTC_EAST
5102080,IOTC,IOTC_EAST
5102081,IOTC,IOTC_EAST
5102082,IOTC,IOTC_EAST
5102083,IOTC,IOTC_EAST
5102084,IOTC,IOTC_EAST
5102085,IOTC,IOTC_EAST
5102086,IOTC,IOTC_EAST
5102087,IOTC,IOTC_EAST
5102088,IOTC,IOTC_EAST
5102089,IOTC,IOTC_EAST
5102090,IOTC,IOTC_EAST
5102091,IOTC,IOTC_EAST
5102092,IOTC,IOTC_EAST
5102093,IOTC,IOTC_EAST
5102094,IOTC,IOTC_EAST
5102095,IOTC,IOTC_EAST
5102096,IOTC,IOTC_EAST
5102097,IOTC,IOTC_EAST
5102098,IOTC,IOTC_EAST
5103000,ICCAT,AT-SE
5103001,ICCAT,AT-SE
5103002,ICCAT,AT-SE
5103003,ICCAT,AT-SE
5103004,ICCAT,AT-SE
5103005,ICCAT,AT-SE
5103006,ICCAT,AT-SE
5103007,ICCAT,AT-SE
5103008,ICCAT,AT-SE
5103009,ICCAT,AT-SE
5103046,IOTC,IOTC_WEST
5103047,IOTC,IOTC_WEST
5103048,IOTC,IOTC_WEST
5103049,IOTC,IOTC_WEST
5103050,IOTC,IOTC_WEST
5103051,IOTC,IOTC_WEST
5103052,IOTC,IOTC_WEST
5103053,IOTC,IOTC_WEST
5103054,IOTC,IOTC_WEST
5103055,IOTC,IOTC_WEST
5103056,IOTC,IOTC_WEST
5103057,IOTC,IOTC_WEST
5103058,IOTC,IOTC_WEST
5103059,IOTC,IOTC_WEST
5103060,IOTC,IOTC_WEST
5103061,IOTC,IOTC_WEST
5103062,IOTC,IOTC_WEST
5103063,IOTC,IOTC_WEST
5103064,IOTC,IOTC_WEST
5103065,IOTC,IOTC_WEST
5103066,IOTC,IOTC_WEST
5103067,IOTC,IOTC_WEST
5103068,IOTC,IOTC_WEST
5103069,IOTC,IOTC_WEST
5103070,IOTC,IOTC_WEST
5103071,IOTC,IOTC_WEST
5103072,IOTC,IOTC_WEST
5103073,IOTC,IOTC_WEST
5103074,IOTC,IOTC_WEST
5103075,IOTC,IOTC_WEST
5103078,IOTC,IOTC_EAST
5103079,IOTC,IOTC_EAST
5103080,IOTC,IOTC_EAST
5103081,IOTC,IOTC_EAST
5103082,IOTC,IOTC_EAST
5103083,IOTC,IOTC_EAST
5103084,IOTC,IOTC_EAST
5103085,IOTC,IOTC_EAST
5103086,IOTC,IOTC_EAST
5103087,IOTC,IOTC_EAST
5103088,IOTC,IOTC_EAST
5103089,IOTC,IOTC_EAST
5103090,IOTC,IOTC_EAST
5103091,IOTC,IOTC_EAST
5103092,IOTC,IOTC_EAST
5103093,IOTC,IOTC_EAST
5103094,IOTC,IOTC_EAST
5103095,IOTC,IOTC_EAST
5103096,IOTC,IOTC_EAST
5104000,ICCAT,AT-SE
5104001,ICCAT,AT-SE
5104002,ICCAT,AT-SE
5104003,ICCAT,AT-SE
5104004,ICCAT,AT-SE
5104005,ICCAT,AT-SE
5104006,ICCAT,AT-SE
5104007,ICCAT,AT-SE
5104008,ICCAT,AT-SE
5104009,ICCAT,AT-SE
5104048,IOTC,IOTC_WEST
5104049,IOTC,IOTC_WEST
5104050,IOTC,IOTC_WEST
5104051,IOTC,IOTC_WEST
5104052,IOTC,IOTC_WEST
5104053,IOTC,IOTC_WEST
5104054,IOTC,IOTC_WEST
5104055,IOTC,IOTC_WEST
5104056,IOTC,IOTC_WEST
5104057,IOTC,IOTC_WEST
5104058,IOTC,IOTC_WEST
5104059,IOTC,IOTC_WEST
5104060,IOTC,IOTC_WEST
5104061,IOTC,IOTC_WEST
5104062,IOTC,IOTC_WEST
5104063,IOTC,IOTC_WEST
5104064,IOTC,IOTC_WEST
5104065,IOTC,IOTC_WEST
5104066,IOTC,IOTC_WEST
5104067,IOTC,IOTC_WEST
5104068,IOTC,IOTC_WEST
5104069,IOTC,IOTC_WEST
5104070,IOTC,IOTC_WEST
5104071,IOTC,IOTC_WEST
5104072,IOTC,IOTC_WEST
5104073,IOTC,IOTC_WEST
5104074,IOTC,IOTC_WEST
5104075,IOTC,IOTC_WEST
5104078,IOTC,IOTC_EAST
5104079,IOTC,IOTC_EAST
5104080,IOTC,IOTC_EAST
5104081,IOTC,IOTC_EAST
5104082,IOTC,IOTC_EAST
5104083,IOTC,IOTC_EAST
5104084,IOTC,IOTC_EAST
5104085,IOTC,IOTC_EAST
5104086,IOTC,IOTC_EAST
5104087,IOTC,IOTC_EAST
5104088,IOTC,IOTC_EAST
5104089,IOTC,IOTC_EAST
5104090,IOTC,IOTC_EAST
5104091,IOTC,IOTC_EAST
5104092,IOTC,IOTC_EAST
5104093,IOTC,IOTC_EAST
5104094,IOTC,IOTC_EAST
5104095,IOTC,IOTC_EAST
5104098,IOTC,IOTC_EAST
5104100,IOTC,IOTC_EAST
5105000,ICCAT,AT-SE
5105001,ICCAT,AT-SE
5105002,ICCAT,AT-SE
5105003,ICCAT,AT-SE
5105004,ICCAT,AT-SE
5105005,ICCAT,AT-SE
5105048,IOTC,IOTC_WEST
5105049,IOTC,IOTC_WEST
5105050,IOTC,IOTC_WEST
5105051,IOTC,IOTC_WEST
5105052,IOTC,IOTC_WEST
5105053,IOTC,IOTC_WEST
5105054,IOTC,IOTC_WEST
5105055,IOTC,IOTC_WEST
5105056,IOTC,IOTC_WEST
5105057,IOTC,IOTC_WEST
5105058,IOTC,IOTC_WEST
5105059,IOTC,IOTC_WEST
5105060,IOTC,IOTC_WEST
5105061,IOTC,IOTC_WEST
5105062,IOTC,IOTC_WEST
5105063,IOTC,IOTC_WEST
5105064,IOTC,IOTC_WEST
5105065,IOTC,IOTC_WEST
5105066,IOTC,IOTC_WEST
5105067,IOTC,IOTC_WEST
5105068,IOTC,IOTC_WEST
5105069,IOTC,IOTC_WEST
5105070,IOTC,IOTC_WEST
5105071,IOTC,IOTC_WEST
5105072,IOTC,IOTC_WEST
5105073,IOTC,IOTC_WEST
5105074,IOTC,IOTC_WEST
5105075,IOTC,IOTC_WEST
5105080,IOTC,IOTC_EAST
5105084,IOTC,IOTC_EAST
5105085,IOTC,IOTC_EAST
5105086,IOTC,IOTC_EAST
5105087,IOTC,IOTC_EAST
5105088,IOTC,IOTC_EAST
5105089,IOTC,IOTC_EAST
5105090,IOTC,IOTC_EAST
5105091,IOTC,IOTC_EAST
5105093,IOTC,IOTC_EAST
5105094,IOTC,IOTC_EAST
5105095,IOTC,IOTC_EAST
5105096,IOTC,IOTC_EAST
5105097,IOTC,IOTC_EAST
5105098,IOTC,IOTC_EAST
5106001,ICCAT,AT-SE
5106002,ICCAT,AT-SE
5106003,ICCAT,AT-SE
5106004,ICCAT,AT-SE
5106048,IOTC,IOTC_WEST
5106049,IOTC,IOTC_WEST
5106050,IOTC,IOTC_WEST
5106051,IOTC,IOTC_WEST
5106052,IOTC,IOTC_WEST
5106053,IOTC,IOTC_WEST
5106054,IOTC,IOTC_WEST
5106055,IOTC,IOTC_WEST
5106056,IOTC,IOTC_WEST
5106057,IOTC,IOTC_WEST
5106058,IOTC,IOTC_WEST
5106059,IOTC,IOTC_WEST
5106060,IOTC,IOTC_WEST
5106061,IOTC,IOTC_WEST
5106062,IOTC,IOTC_WEST
5106063,IOTC,IOTC_WEST
5106064,IOTC,IOTC_WEST
5106065,IOTC,IOTC_WEST
5106066,IOTC,IOTC_WEST
5106067,IOTC,IOTC_WEST
5106068,IOTC,IOTC_WEST
5106069,IOTC,IOTC_WEST
5106070,IOTC,IOTC_WEST
5106071,IOTC,IOTC_WEST
5106072,IOTC,IOTC_WEST
5106073,IOTC,IOTC_WEST
5106074,IOTC,IOTC_WEST
5106075,IOTC,IOTC_WEST
5106078,IOTC,IOTC_EAST
5106079,IOTC,IOTC_EAST
5106085,IOTC,IOTC_EAST
5106086,IOTC,IOTC_EAST
5106087,IOTC,IOTC_EAST
5106088,IOTC,IOTC_EAST
5106089,IOTC,IOTC_EAST
5106090,IOTC,IOTC_EAST
5106094,IOTC,IOTC_EAST
5106095,IOTC,IOTC_EAST
5106096,IOTC,IOTC_EAST
5106097,IOTC,IOTC_EAST
5107050,IOTC,IOTC_WEST
5107051,IOTC,IOTC_WEST
5107052,IOTC,IOTC_WEST
5107053,IOTC,IOTC_WEST
5107054,IOTC,IOTC_WEST
5107055,IOTC,IOTC_WEST
5107056,IOTC,IOTC_WEST
5107057,IOTC,IOTC_WEST
5107058,IOTC,IOTC_WEST
5107059,IOTC,IOTC_WEST
5107060,IOTC,IOTC_WEST
5107061,IOTC,IOTC_WEST
5107062,IOTC,IOTC_WEST
5107063,IOTC,IOTC_WEST
5107064,IOTC,IOTC_WEST
5107065,IOTC,IOTC_WEST
5107066,IOTC,IOTC_WEST
5107067,IOTC,IOTC_WEST
5107068,IOTC,IOTC_WEST
5107069,IOTC,IOTC_WEST
5107070,IOTC,IOTC_WEST
5107071,IOTC,IOTC_WEST
5107072,IOTC,IOTC_WEST
5107073,IOTC,IOTC_WEST
5107074,IOTC,IOTC_WEST
5107075,IOTC,IOTC_WEST
5107078,IOTC,IOTC_EAST
5107085,IOTC,IOTC_EAST
5107086,IOTC,IOTC_EAST
5107087,IOTC,IOTC_EAST
5107088,IOTC,IOTC_EAST
5107089,IOTC,IOTC_EAST
5107090,IOTC,IOTC_EAST
5107095,IOTC,IOTC_EAST
5107096,IOTC,IOTC_EAST
5108050,IOTC,IOTC_WEST
5108051,IOTC,IOTC_WEST
5108052,IOTC,IOTC_WEST
5108053,IOTC,IOTC_WEST
5108054,IOTC,IOTC_WEST
5108055,IOTC,IOTC_WEST
5108056,IOTC,IOTC_WEST
5108057,IOTC,IOTC_WEST
5108058,IOTC,IOTC_WEST
5108059,IOTC,IOTC_WEST
5108060,IOTC,IOTC_WEST
5108061,IOTC,IOTC_WEST
5108062,IOTC,IOTC_WEST
5108063,IOTC,IOTC_WEST
5108064,IOTC,IOTC_WEST
5108065,IOTC,IOTC_WEST
5108066,IOTC,IOTC_WEST
5108067,IOTC,IOTC_WEST
5108068,IOTC,IOTC_WEST
5108069,IOTC,IOTC_WEST
5108070,IOTC,IOTC_WEST
5108071,IOTC,IOTC_WEST
5108072,IOTC,IOTC_WEST
5108073,IOTC,IOTC_WEST
5108074,IOTC,IOTC_WEST
5108075,IOTC,IOTC_WEST
5108079,IOTC,IOTC_EAST
5108080,IOTC,IOTC_EAST
5108081,IOTC,IOTC_EAST
5108084,IOTC,IOTC_EAST
5108085,IOTC,IOTC_EAST
5108086,IOTC,IOTC_EAST
5108087,IOTC,IOTC_EAST
5108088,IOTC,IOTC_EAST
