species,max_weight,min_weight
SBF,,
ALB,0.0603,1E-05
SKJ,0.0345,1E-05
BET,0.21,1E-05
YFT,0.2,1E-05
NTAD,0.5,1E-05
TUX,0.5,1E-05
SKH,0.5,1E-05
FRZ,0.5,1E-05
LOT,0.5,1E-05
KAW,0.5,1E-05
COM,0.5,1E-05
FAL,0.5,1E-05
SWO,0.5,1E-05
BILL,0.5,1E-05
MLS,0.5,1E-05
BUM,0.5,1E-05
BLM,0.5,1E-05
SSP,0.5,1E-05
SFA,0.5,1E-05
MSK,0.5,1E-05
BSH,0.5,1E-05
POR,0.5,1E-05
OCS,0.5,1E-05
SPY,0.5,1E-05
THR,0.5,1E-05
RSK,0.5,1E-05
OTH,0.5,1E-05
HAM,0.5,1E-05
MAK,0.5,1E-05
LTA,0.5,1E-05
BON,0.5,1E-05
FRI,0.5,1E-05
BFT,0.684,1E-05
oSks,0.5,1E-05
KGM,0.5,1E-05
BIL,0.5,1E-05
WHM,0.5,1E-05
oTun,0.5,1E-05
MAW,0.5,1E-05
SAI,0.5,1E-05
SMA,0.5,1E-05
SPF,0.5,1E-05
SSM,0.5,1E-05
WAH,0.5,1E-05
BLF,0.5,1E-05
BLT,0.5,1E-05
CER,0.5,1E-05
BOP,0.5,1E-05
SLT,0.5,1E-05
BRS,0.5,1E-05
PBF,0.5,1E-05
TUN,0.5,1E-05
CCL,0.5,1E-05
SPN,0.5,1E-05
BZX,0.5,1E-05
BKJ,0.5,1E-05
