"fishingfleet","time_start","time_end","geographic_identifier","gear_type","fishing_mode","species","measurement","measurement_type","measurement_value","measurement_unit","measurement_obs","source_authority"
"AUS","1992-01-01","1992-01-31",6230130,9.1,"UNK","SBF","catch","Landings",573.5,"t","raised","IOTC"
"AUS","1992-02-01","1992-02-29",6230130,1.1,"FS","ALB","catch","Landings",1,"t","raised","IOTC"
"AUS","1992-02-01","1992-02-29",6230130,1.1,"FS","SKJ","catch","Landings",192,"t","raised","IOTC"
"AUS","1992-02-01","1992-02-29",6230130,9.1,"UNK","ALB","catch","Landings",3.3,"t","raised","IOTC"
"AUS","1992-02-01","1992-02-29",6230130,9.1,"UNK","SBF","catch","Landings",272.1,"t","raised","IOTC"
"AUS","1992-02-01","1992-02-29",6230135,9.1,"UNK","SBF","catch","Landings",24.7,"t","raised","IOTC"
"AUS","1992-02-01","1992-02-29",6235115,9.1,"UNK","SBF","catch","Landings",2.5,"t","raised","IOTC"
"AUS","1992-02-01","1992-02-29",6235140,9.32,"UNK","YFT","catch","Landings",3,"no","raised","IOTC"
"AUS","1992-02-01","1992-02-29",6235140,9.32,"UNK","YFT","catch","Landings",0.055,"t","raised","IOTC"
"AUS","1992-03-01","1992-03-31",6230130,1.1,"FS","ALB","catch","Landings",0.4,"t","raised","IOTC"
