"Year","Month","Flag","LatC1","LonC1","NumSets","BIL","BLM","BUM","MLS","SFA","SSP","SWO"
1993,1,"COL",-14.5,-83.5,1,0,0,0,0,0,0,0
1993,1,"COL",-12.5,-85.5,1,0,0,0,0,0,0,0
1993,1,"COL",-12.5,-84.5,3,1,0,0,0,0,0,0
1993,1,"COL",-12.5,-82.5,1,0,0,0,0,0,0,0
1993,1,"COL",-11.5,-85.5,5,1,0,0,0,0,0,0
1993,1,"COL",-10.5,-86.5,2,0,0,0,0,0,0,0
1993,1,"COL",-10.5,-85.5,1,0,1,0,0,0,0,0
1993,1,"ECU",-14.5,-83.5,1,1,0,0,0,0,0,0
1993,1,"ECU",-14.5,-82.5,1,0,0,0,0,0,0,0
1993,1,"ECU",-13.5,-85.5,1,0,0,0,0,0,0,0
