"Year","Month","Flag","LatC1","LonC1","NumSets","ALB","BET","BKJ","BZX","PBF","SKJ","TUN","YFT"
1958,12,"Other",18.5,-114.5,8,0,0,0,0,0,0,0,26.3
1958,12,"Other",18.5,-110.5,10,0,0,0,0,0,54.4,0,0
1958,12,"Other",19.5,-110.5,6,0,0,0,0,0,0,0,9.1
1959,1,"USA",15.5,-97.5,10,0,0,0,0,0,0,0,99.9
1959,1,"USA",16.5,-100.5,2,0,0,0,0,0,0,0,0
1959,1,"USA",16.5,-99.5,3,0,0,0,0,0,0,0,5.4
1959,1,"USA",17.5,-101.5,8,0,0,0,0,0,0,0,89.8
1959,1,"USA",17.5,-100.5,8,0,0,0,0,0,0,0,73.5
1959,1,"USA",18.5,-114.5,6,0,0,0,0,0,2.94,0,7.05
1959,1,"USA",18.5,-110.5,10,0,0,0,0,0,2.36,0,5.83
